using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=53, a_nnz=7.01366, ever_a_nnz=12.6402, b_nnz=102.083, uni_search=28.8269, uni_subSolve=1.43934, uni_maintain_time=0.196551, bi_search=144.966, bi_subSolve=1.13397, bi_maintain_time=0.502813, admm_maintain=0.7505, area4=-nan, infea=3.08928, d_obj=238.954., heldout Acc=0.99037 (35/50), overall time=8377.32
i=54, a_nnz=7.06773, ever_a_nnz=12.7091, b_nnz=103.534, uni_search=12.466, uni_subSolve=0.536839, uni_maintain_time=0.125115, bi_search=116.567, bi_subSolve=0.598142, bi_maintain_time=0.271226, admm_maintain=0.38899, area4=-nan, infea=2.72575, d_obj=217.191., heldout Acc=0.991852 (36/50), overall time=8508.29
i=55, a_nnz=7.12677, ever_a_nnz=12.7767, b_nnz=105.004, uni_search=30.2759, uni_subSolve=1.51632, uni_maintain_time=0.206807, bi_search=137.201, bi_subSolve=1.04512, bi_maintain_time=0.465532, admm_maintain=0.718916, area4=-nan, infea=2.67917, d_obj=200.337., heldout Acc=0.992593 (37/50), overall time=8679.75
i=56, a_nnz=7.18077, ever_a_nnz=12.8432, b_nnz=106.459, uni_search=30.7468, uni_subSolve=1.53826, uni_maintain_time=0.206915, bi_search=137.377, bi_subSolve=1.06362, bi_maintain_time=0.467539, admm_maintain=0.404479, area4=-nan, infea=3.2091, d_obj=185.831., heldout Acc=0.990864 (38/50), overall time=8851.58
i=57, a_nnz=7.22941, ever_a_nnz=12.9049, b_nnz=107.859, uni_search=17.8003, uni_subSolve=0.824426, uni_maintain_time=0.149153, bi_search=134.233, bi_subSolve=0.981558, bi_maintain_time=0.417263, admm_maintain=0.629335, area4=-nan, infea=3.05929, d_obj=172.406., heldout Acc=0.988642 (39/50), overall time=9006.64
i=58, a_nnz=7.27627, ever_a_nnz=12.9641, b_nnz=109.244, uni_search=31.5734, uni_subSolve=1.59297, uni_maintain_time=0.213164, bi_search=136.969, bi_subSolve=1.07152, bi_maintain_time=0.461005, admm_maintain=0.812271, area4=-nan, infea=3.10853, d_obj=158.729., heldout Acc=0.993333 (40/50), overall time=9179.37
i=59, a_nnz=7.32887, ever_a_nnz=13.0236, b_nnz=110.635, uni_search=32.5961, uni_subSolve=2.06527, uni_maintain_time=0.248062, bi_search=162.096, bi_subSolve=1.71128, bi_maintain_time=0.676405, admm_maintain=1.25062, area4=-nan, infea=2.73945, d_obj=142.619., heldout Acc=0.995309 (41/50), overall time=9380.06
i=60, a_nnz=7.37399, ever_a_nnz=13.0848, b_nnz=112.092, uni_search=31.6862, uni_subSolve=1.60074, uni_maintain_time=0.207786, bi_search=125.352, bi_subSolve=0.863117, bi_maintain_time=0.361314, admm_maintain=0.375025, area4=-nan, infea=3.14839, d_obj=153.779., heldout Acc=0.995802 (42/50), overall time=9540.53
i=61, a_nnz=7.42168, ever_a_nnz=13.1464, b_nnz=113.537, uni_search=34.2966, uni_subSolve=1.63332, uni_maintain_time=0.210454, bi_search=142.076, bi_subSolve=1.29228, bi_maintain_time=0.557809, admm_maintain=0.841007, area4=-nan, infea=2.81785, d_obj=146.003., heldout Acc=0.99358 (43/50), overall time=9721.47
i=62, a_nnz=7.47306, ever_a_nnz=13.2087, b_nnz=114.99, uni_search=12.8404, uni_subSolve=0.604853, uni_maintain_time=0.147871, bi_search=143.925, bi_subSolve=1.21195, bi_maintain_time=0.505951, admm_maintain=1.07129, area4=-nan, infea=2.72129, d_obj=131.847., heldout Acc=0.994815 (44/50), overall time=9881.81
i=63, a_nnz=7.51838, ever_a_nnz=13.2733, b_nnz=116.499, uni_search=27.9598, uni_subSolve=1.44013, uni_maintain_time=0.215379, bi_search=135.821, bi_subSolve=1.10307, bi_maintain_time=0.474484, admm_maintain=0.797599, area4=-nan, infea=3.11718, d_obj=130.57., heldout Acc=0.993827 (45/50), overall time=10049.7
i=64, a_nnz=7.55822, ever_a_nnz=13.3327, b_nnz=117.898, uni_search=15.3617, uni_subSolve=0.752347, uni_maintain_time=0.161565, bi_search=117.378, bi_subSolve=0.618813, bi_maintain_time=0.296339, admm_maintain=0.408443, area4=-nan, infea=2.65309, d_obj=134.951., heldout Acc=0.991852 (46/50), overall time=10184.6
i=65, a_nnz=7.59715, ever_a_nnz=13.3869, b_nnz=119.266, uni_search=31.3606, uni_subSolve=1.48297, uni_maintain_time=0.221339, bi_search=141.8, bi_subSolve=1.33963, bi_maintain_time=0.563997, admm_maintain=0.917465, area4=-nan, infea=1.82098, d_obj=124.06., heldout Acc=0.993827 (47/50), overall time=10362.4
i=66, a_nnz=7.6465, ever_a_nnz=13.4454, b_nnz=120.72, uni_search=31.5668, uni_subSolve=1.48254, uni_maintain_time=0.202624, bi_search=137.893, bi_subSolve=1.21877, bi_maintain_time=0.515929, admm_maintain=0.924149, area4=-nan, infea=1.72694, d_obj=124.113., heldout Acc=0.993333 (48/50), overall time=10536.2
i=67, a_nnz=7.69239, ever_a_nnz=13.502, b_nnz=122.14, uni_search=14.0251, uni_subSolve=0.700862, uni_maintain_time=0.189473, bi_search=149.146, bi_subSolve=1.35052, bi_maintain_time=0.551445, admm_maintain=0.413254, area4=-nan, infea=2.94609, d_obj=133.531., heldout Acc=0.990123 (49/50), overall time=10702.6
i=68, a_nnz=7.73082, ever_a_nnz=13.5659, b_nnz=123.627, uni_search=39.206, uni_subSolve=2.30974, uni_maintain_time=0.288315, bi_search=141.876, bi_subSolve=1.3233, bi_maintain_time=0.579125, admm_maintain=0.836, area4=-nan, infea=2.78256, d_obj=108.136., heldout Acc=0.995556 (50/50), overall time=10889.1, overall time=10889.1
