using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=44, a_nnz=5.40872, ever_a_nnz=15.8639, b_nnz=182.238, uni_search=15.0438, uni_subSolve=1.83125, uni_maintain_time=0.225293, bi_search=1.6397, bi_subSolve=2.49743, bi_maintain_time=0.395666, admm_maintain=1.45432, area4=4.62684, infea=0.478699, d_obj=-30.1034, overall time=783.796
i=45, a_nnz=5.41498, ever_a_nnz=15.9973, b_nnz=186.299, uni_search=17.2366, uni_subSolve=1.96573, uni_maintain_time=0.196417, bi_search=1.55486, bi_subSolve=2.49537, bi_maintain_time=0.461268, admm_maintain=1.92831, area4=4.70599, infea=0.534542, d_obj=-30.4743, overall time=809.65
i=46, a_nnz=5.43744, ever_a_nnz=16.1303, b_nnz=190.404, uni_search=20.5165, uni_subSolve=2.30984, uni_maintain_time=0.224739, bi_search=1.74035, bi_subSolve=2.76527, bi_maintain_time=0.454029, admm_maintain=1.97559, area4=4.87399, infea=0.546646, d_obj=-29.0152, overall time=839.65
i=47, a_nnz=5.45257, ever_a_nnz=16.2565, b_nnz=194.424, uni_search=16.8715, uni_subSolve=1.86273, uni_maintain_time=0.189893, bi_search=1.839, bi_subSolve=2.6907, bi_maintain_time=0.410551, admm_maintain=1.97772, area4=4.96362, infea=0.558314, d_obj=-30.5419, overall time=865.507
i=48, a_nnz=5.46547, ever_a_nnz=16.3841, b_nnz=198.56, uni_search=17.5246, uni_subSolve=2.04161, uni_maintain_time=0.212993, bi_search=1.53622, bi_subSolve=2.4108, bi_maintain_time=0.380419, admm_maintain=2.1615, area4=5.06562, infea=1.08367, d_obj=-5.69333, overall time=891.79
i=49, a_nnz=5.47166, ever_a_nnz=16.5126, b_nnz=202.722, uni_search=14.8827, uni_subSolve=1.60864, uni_maintain_time=0.174577, bi_search=1.59339, bi_subSolve=2.62991, bi_maintain_time=0.447698, admm_maintain=3.26401, area4=5.18294, infea=0.575117, d_obj=-26.8024, heldout Acc=1 (4/50), overall time=916.405
i=50, a_nnz=5.46496, ever_a_nnz=16.6374, b_nnz=206.79, uni_search=20.1578, uni_subSolve=2.42852, uni_maintain_time=0.271819, bi_search=1.8698, bi_subSolve=2.71534, bi_maintain_time=0.462271, admm_maintain=2.3003, area4=5.27754, infea=0.594022, d_obj=-29.1496, overall time=946.627
i=51, a_nnz=5.4804, ever_a_nnz=16.7557, b_nnz=210.769, uni_search=20.2386, uni_subSolve=2.27532, uni_maintain_time=0.228946, bi_search=1.56394, bi_subSolve=2.3911, bi_maintain_time=0.440648, admm_maintain=2.72252, area4=5.41708, infea=0.602548, d_obj=-29.3714, overall time=976.503
i=52, a_nnz=5.49815, ever_a_nnz=16.8767, b_nnz=214.856, uni_search=20.0395, uni_subSolve=2.41988, uni_maintain_time=0.244225, bi_search=1.49712, bi_subSolve=2.20691, bi_maintain_time=0.409245, admm_maintain=2.5907, area4=5.51385, infea=0.63528, d_obj=-29.2789, overall time=1005.94
i=53, a_nnz=5.51098, ever_a_nnz=16.996, b_nnz=218.889, uni_search=19.0067, uni_subSolve=2.23298, uni_maintain_time=0.2284, bi_search=1.85951, bi_subSolve=2.70975, bi_maintain_time=0.4903, admm_maintain=2.50185, area4=5.60334, infea=0.550507, d_obj=-28.8457, overall time=1034.99
i=54, a_nnz=5.52055, ever_a_nnz=17.1139, b_nnz=222.823, uni_search=19.1309, uni_subSolve=2.20401, uni_maintain_time=0.236226, bi_search=1.98511, bi_subSolve=3.03268, bi_maintain_time=0.484544, admm_maintain=2.50246, area4=5.68441, infea=0.625996, d_obj=-26.8435, overall time=1064.59
i=55, a_nnz=5.53096, ever_a_nnz=17.2272, b_nnz=226.674, uni_search=20.2044, uni_subSolve=2.35219, uni_maintain_time=0.208925, bi_search=1.72942, bi_subSolve=2.68396, bi_maintain_time=0.516619, admm_maintain=2.89104, area4=5.78335, infea=0.888891, d_obj=-20.5073, overall time=1095.22
i=56, a_nnz=5.53236, ever_a_nnz=17.339, b_nnz=230.501, uni_search=22.3769, uni_subSolve=2.62715, uni_maintain_time=0.230779, bi_search=1.52968, bi_subSolve=2.35549, bi_maintain_time=0.414145, admm_maintain=2.43081, area4=5.79548, infea=0.601273, d_obj=-28.9823, overall time=1127.21
i=57, a_nnz=5.53804, ever_a_nnz=17.4484, b_nnz=234.343, uni_search=22.1586, uni_subSolve=2.59341, uni_maintain_time=0.249448, bi_search=1.6917, bi_subSolve=2.58005, bi_maintain_time=0.419, admm_maintain=2.73835, area4=5.75693, infea=0.641179, d_obj=-30.3585, overall time=1159.66
i=58, a_nnz=5.55362, ever_a_nnz=17.5559, b_nnz=238.148, uni_search=20.8143, uni_subSolve=2.42146, uni_maintain_time=0.216657, bi_search=2.02943, bi_subSolve=3.12941, bi_maintain_time=0.466594, admm_maintain=4.09271, area4=5.82676, infea=0.658335, d_obj=-28.7659, overall time=1192.85
i=59, a_nnz=5.55036, ever_a_nnz=17.6597, b_nnz=241.842, uni_search=20.3995, uni_subSolve=2.41975, uni_maintain_time=0.219949, bi_search=1.5717, bi_subSolve=2.43558, bi_maintain_time=0.435375, admm_maintain=2.26221, area4=5.80059, infea=0.588507, d_obj=1.6727, heldout Acc=1 (5/50), overall time=1222.62
i=60, a_nnz=5.56275, ever_a_nnz=17.765, b_nnz=245.575, uni_search=20.1676, uni_subSolve=2.4323, uni_maintain_time=0.215907, bi_search=1.77351, bi_subSolve=2.59624, bi_maintain_time=0.445435, admm_maintain=2.56504, area4=5.80978, infea=0.601842, d_obj=-30.3768, overall time=1252.83
i=61, a_nnz=5.56575, ever_a_nnz=17.8668, b_nnz=249.193, uni_search=19.7418, uni_subSolve=2.35448, uni_maintain_time=0.219698, bi_search=1.52674, bi_subSolve=2.46277, bi_maintain_time=0.389359, admm_maintain=2.83266, area4=5.87438, infea=1.54568, d_obj=37.5634, overall time=1282.38
i=62, a_nnz=5.56932, ever_a_nnz=17.9756, b_nnz=253.065, uni_search=20.7114, uni_subSolve=2.3606, uni_maintain_time=0.218285, bi_search=1.36072, bi_subSolve=2.05375, bi_maintain_time=0.375595, admm_maintain=2.90253, area4=5.98315, infea=0.695083, d_obj=-26.5971, overall time=1312.38
i=63, a_nnz=5.5759, ever_a_nnz=18.0801, b_nnz=256.908, uni_search=17.6744, uni_subSolve=2.20716, uni_maintain_time=0.196931, bi_search=2.12027, bi_subSolve=3.153, bi_maintain_time=0.520597, admm_maintain=3.55305, area4=6.0623, infea=0.734044, d_obj=-26.7916, overall time=1341.84
i=64, a_nnz=5.56779, ever_a_nnz=18.1814, b_nnz=260.712, uni_search=21.3214, uni_subSolve=2.50557, uni_maintain_time=0.270538, bi_search=1.68126, bi_subSolve=2.63076, bi_maintain_time=0.461122, admm_maintain=2.75768, area4=6.12345, infea=0.82771, d_obj=-30.3665, overall time=1373.48
i=65, a_nnz=5.56862, ever_a_nnz=18.2806, b_nnz=264.484, uni_search=21.0267, uni_subSolve=2.45522, uni_maintain_time=0.207563, bi_search=1.95025, bi_subSolve=2.94659, bi_maintain_time=0.463851, admm_maintain=3.31057, area4=6.22801, infea=0.793885, d_obj=-29.8473, overall time=1405.86
i=66, a_nnz=5.56926, ever_a_nnz=18.3796, b_nnz=268.153, uni_search=20.8742, uni_subSolve=2.44058, uni_maintain_time=0.249103, bi_search=1.90065, bi_subSolve=2.91405, bi_maintain_time=0.459934, admm_maintain=2.44425, area4=6.25584, infea=3.72231, d_obj=154.936, overall time=1437.16
i=67, a_nnz=5.56479, ever_a_nnz=18.4819, b_nnz=271.921, uni_search=20.8503, uni_subSolve=2.47267, uni_maintain_time=0.245139, bi_search=2.29806, bi_subSolve=3.84617, bi_maintain_time=0.503613, admm_maintain=3.12622, area4=6.37227, infea=0.837248, d_obj=-3.89969, overall time=1470.55
i=68, a_nnz=5.5556, ever_a_nnz=18.5807, b_nnz=275.686, uni_search=19.7454, uni_subSolve=2.1628, uni_maintain_time=0.217358, bi_search=1.72337, bi_subSolve=2.77303, bi_maintain_time=0.427711, admm_maintain=3.00221, area4=6.42934, infea=0.94549, d_obj=-13.9673, overall time=1500.62
