using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=47, a_nnz=6.6982, ever_a_nnz=11.9452, b_nnz=90.3764, uni_search=17.9842, uni_subSolve=0.873758, uni_maintain_time=0.150312, bi_search=119.631, bi_subSolve=0.589873, bi_maintain_time=0.284802, admm_maintain=0.395014, area4=-nan, infea=16.2577, d_obj=339.227., heldout Acc=0.991605 (26/50), overall time=7353.57
i=48, a_nnz=6.75361, ever_a_nnz=12.0186, b_nnz=91.9013, uni_search=29.3415, uni_subSolve=1.86543, uni_maintain_time=0.228543, bi_search=132.402, bi_subSolve=0.928032, bi_maintain_time=0.394049, admm_maintain=0.412413, area4=-nan, infea=15.3742, d_obj=302.418., heldout Acc=0.996049 (27/50), overall time=7519.17
i=49, a_nnz=6.80295, ever_a_nnz=12.0878, b_nnz=93.3282, uni_search=18.9198, uni_subSolve=1.09352, uni_maintain_time=0.190062, bi_search=122.702, bi_subSolve=0.728396, bi_maintain_time=0.333694, admm_maintain=0.285019, area4=-nan, infea=15.7208, d_obj=281.116., heldout Acc=0.992099 (28/50), overall time=7663.45
i=50, a_nnz=6.85995, ever_a_nnz=12.1551, b_nnz=94.7781, uni_search=12.0497, uni_subSolve=0.552663, uni_maintain_time=0.138055, bi_search=121.606, bi_subSolve=0.704605, bi_maintain_time=0.311686, admm_maintain=0.329147, area4=-nan, infea=12.7527, d_obj=254.538., heldout Acc=0.995802 (29/50), overall time=7799.16
i=51, a_nnz=6.91395, ever_a_nnz=12.2209, b_nnz=96.2622, uni_search=16.0462, uni_subSolve=0.849532, uni_maintain_time=0.150537, bi_search=114.179, bi_subSolve=0.554917, bi_maintain_time=0.249335, admm_maintain=0.282745, area4=-nan, infea=15.6894, d_obj=237.75., heldout Acc=0.990864 (30/50), overall time=7931.49
i=52, a_nnz=6.95653, ever_a_nnz=12.2807, b_nnz=97.6363, uni_search=19.4689, uni_subSolve=1.11458, uni_maintain_time=0.189382, bi_search=135.211, bi_subSolve=1.01987, bi_maintain_time=0.42889, admm_maintain=0.839322, area4=-nan, infea=13.4463, d_obj=216.753., heldout Acc=0.99679, overall time=8089.79
i=53, a_nnz=7.00262, ever_a_nnz=12.3421, b_nnz=99.0403, uni_search=26.6769, uni_subSolve=1.33163, uni_maintain_time=0.175132, bi_search=137.825, bi_subSolve=0.992036, bi_maintain_time=0.440823, admm_maintain=0.61694, area4=-nan, infea=14.0424, d_obj=195.471., heldout Acc=0.992593 (1/50), overall time=8257.89
i=54, a_nnz=7.05151, ever_a_nnz=12.3968, b_nnz=100.383, uni_search=24.3283, uni_subSolve=1.44101, uni_maintain_time=0.190851, bi_search=135.258, bi_subSolve=1.06628, bi_maintain_time=0.447266, admm_maintain=0.816692, area4=-nan, infea=15.0578, d_obj=187.076., heldout Acc=0.99284 (2/50), overall time=8421.47
i=55, a_nnz=7.09805, ever_a_nnz=12.4563, b_nnz=101.844, uni_search=23.9085, uni_subSolve=1.44096, uni_maintain_time=0.213814, bi_search=128.301, bi_subSolve=0.913712, bi_maintain_time=0.388418, admm_maintain=0.402506, area4=-nan, infea=13.2156, d_obj=172.515., heldout Acc=0.993086 (3/50), overall time=8577.07
i=56, a_nnz=7.14943, ever_a_nnz=12.5117, b_nnz=103.164, uni_search=18.7316, uni_subSolve=1.05153, uni_maintain_time=0.186967, bi_search=131.931, bi_subSolve=1.02032, bi_maintain_time=0.43594, admm_maintain=0.582454, area4=-nan, infea=13.4427, d_obj=162.325., heldout Acc=0.996543 (4/50), overall time=8731.04
i=57, a_nnz=7.20503, ever_a_nnz=12.5733, b_nnz=104.594, uni_search=15.1277, uni_subSolve=0.720472, uni_maintain_time=0.169942, bi_search=138.099, bi_subSolve=1.07093, bi_maintain_time=0.483633, admm_maintain=0.718424, area4=-nan, infea=14.3109, d_obj=164.877., heldout Acc=0.996296 (5/50), overall time=8887.46
