using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=0.1
i=60, infea=0.18145, nnz_a=11.8324, nnz_b=31.3524, uni_search=1.23543, uni_subSolve=0.0834939, uni_maintain=0.106094, bi_search=0.929771, bi_subSolve=0.0931449, bi_maintain=0.274346, admm_maintain=0.127073, area1=633.861, area23=1.41274, area4=1.12863, dual_obj=-188.719, overall time=120.2
i=61, infea=0.182886, nnz_a=11.8451, nnz_b=31.6333, uni_search=1.26714, uni_subSolve=0.0861136, uni_maintain=0.109056, bi_search=0.372463, bi_subSolve=0.0523156, bi_maintain=0.105093, admm_maintain=0.114221, area1=636.512, area23=1.4332, area4=1.12895, dual_obj=-190.646, overall time=122.417
i=62, infea=0.184339, nnz_a=11.845, nnz_b=31.9013, uni_search=1.32543, uni_subSolve=0.0928523, uni_maintain=0.123847, bi_search=0.81393, bi_subSolve=0.0856008, bi_maintain=0.238723, admm_maintain=0.0651583, area1=638.747, area23=1.45503, area4=1.13117, dual_obj=-192.574, overall time=125.275
i=63, infea=0.185768, nnz_a=11.8567, nnz_b=32.1574, uni_search=1.22092, uni_subSolve=0.0817427, uni_maintain=0.101767, bi_search=0.951122, bi_subSolve=0.0963731, bi_maintain=0.27974, admm_maintain=0.118853, area1=640.836, area23=1.47332, area4=1.13181, dual_obj=-194.475, overall time=128.255
i=64, infea=0.18715, nnz_a=11.8769, nnz_b=32.416, uni_search=1.26286, uni_subSolve=0.0863899, uni_maintain=0.110964, bi_search=0.332053, bi_subSolve=0.0498801, bi_maintain=0.0915109, admm_maintain=0.0615803, area1=643.055, area23=1.4967, area4=1.14023, dual_obj=-196.36, overall time=130.349
i=65, infea=0.188541, nnz_a=11.8956, nnz_b=32.664, uni_search=1.34649, uni_subSolve=0.0954397, uni_maintain=0.126682, bi_search=0.96698, bi_subSolve=0.0979679, bi_maintain=0.283264, admm_maintain=0.132935, area1=644.986, area23=1.51806, area4=1.13276, dual_obj=-198.23, overall time=133.526
i=66, infea=0.189923, nnz_a=11.909, nnz_b=32.9235, uni_search=1.1799, uni_subSolve=0.0783605, uni_maintain=0.0956439, bi_search=0.967539, bi_subSolve=0.0988888, bi_maintain=0.283853, admm_maintain=0.132347, area1=646.841, area23=1.54147, area4=1.14612, dual_obj=-200.08, overall time=136.489
i=67, infea=0.191281, nnz_a=11.9421, nnz_b=33.1678, uni_search=1.30373, uni_subSolve=0.0906248, uni_maintain=0.117517, bi_search=0.319685, bi_subSolve=0.050121, bi_maintain=0.0879473, admm_maintain=0.0586619, area1=648.61, area23=1.56125, area4=1.14723, dual_obj=-201.904, overall time=138.605
i=68, infea=0.192634, nnz_a=11.9556, nnz_b=33.4023, uni_search=1.30895, uni_subSolve=0.0918032, uni_maintain=0.120872, bi_search=0.959239, bi_subSolve=0.099371, bi_maintain=0.281023, admm_maintain=0.126218, area1=650.204, area23=1.58377, area4=1.14214, dual_obj=-203.738, overall time=141.727
i=69, infea=0.193947, nnz_a=11.9683, nnz_b=33.6385, uni_search=1.1947, uni_subSolve=0.0796167, uni_maintain=0.0971981, bi_search=1.00096, bi_subSolve=0.102227, bi_maintain=0.290603, admm_maintain=0.118873, area1=651.498, area23=1.60686, area4=1.15009, dual_obj=-205.529, p_obj=178.738, heldout Acc=0.467148 (1/100), overall time=144.737
i=70, infea=0.195276, nnz_a=11.9941, nnz_b=33.857, uni_search=1.30386, uni_subSolve=0.0912452, uni_maintain=0.118854, bi_search=0.333853, bi_subSolve=0.0519625, bi_maintain=0.0915418, admm_maintain=0.0606711, area1=653.062, area23=1.63117, area4=1.15391, dual_obj=-207.319, overall time=146.878
i=71, infea=0.196588, nnz_a=12.0174, nnz_b=34.0789, uni_search=1.3012, uni_subSolve=0.0917176, uni_maintain=0.119635, bi_search=0.970292, bi_subSolve=0.101481, bi_maintain=0.284554, admm_maintain=0.122202, area1=654.713, area23=1.652, area4=1.15852, dual_obj=-209.082, overall time=150.002
