using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=1
i=0, infea=0.0964916, nnz_a=1.99993, nnz_b=2, uni_search=0.893012, uni_subSolve=0.0129335, uni_maintain=0.00886851, bi_search=0.0512273, bi_subSolve=0.00527284, bi_maintain=0.0181251, admm_maintain=0.00727606, area1=0.999841, area23=1.00382, area4=1.00032, dual_obj=-725.565, overall time=1.20305
i=41, infea=0.559605, nnz_a=21.8837, nnz_b=39.4113, uni_search=0.893246, uni_subSolve=0.0946943, uni_maintain=0.102422, bi_search=0.253727, bi_subSolve=0.0495643, bi_maintain=0.0728867, admm_maintain=0.0435381, area1=752.241, area23=1.60243, area4=1.03593, dual_obj=-8852.66, overall time=58.3543
i=42, infea=0.56295, nnz_a=22.0493, nnz_b=40.1991, uni_search=0.895019, uni_subSolve=0.0954233, uni_maintain=0.103237, bi_search=0.261223, bi_subSolve=0.0511453, bi_maintain=0.0751241, admm_maintain=0.0438546, area1=763.871, area23=1.63338, area4=1.04023, dual_obj=-8931.1, overall time=59.9415
i=43, infea=0.566138, nnz_a=22.2128, nnz_b=40.9772, uni_search=0.892222, uni_subSolve=0.0958696, uni_maintain=0.103501, bi_search=0.268561, bi_subSolve=0.0527631, bi_maintain=0.0770604, admm_maintain=0.0456322, area1=775.285, area23=1.66254, area4=1.04404, dual_obj=-9006.9, overall time=61.5402
i=44, infea=0.569187, nnz_a=22.3688, nnz_b=41.7439, uni_search=0.893402, uni_subSolve=0.0966365, uni_maintain=0.104205, bi_search=0.26447, bi_subSolve=0.0536298, bi_maintain=0.0767246, admm_maintain=0.0445696, area1=786.196, area23=1.69674, area4=1.05183, dual_obj=-9079.4, overall time=63.1365
i=45, infea=0.572129, nnz_a=22.5156, nnz_b=42.5094, uni_search=0.89514, uni_subSolve=0.0974915, uni_maintain=0.105256, bi_search=0.270213, bi_subSolve=0.0552477, bi_maintain=0.078629, admm_maintain=0.0450082, area1=796.772, area23=1.72558, area4=1.07107, dual_obj=-9149.16, overall time=64.7461
i=46, infea=0.574933, nnz_a=22.6574, nnz_b=43.255, uni_search=0.893463, uni_subSolve=0.0977916, uni_maintain=0.105458, bi_search=0.277864, bi_subSolve=0.056674, bi_maintain=0.0807097, admm_maintain=0.0466588, area1=806.676, area23=1.76226, area4=1.07298, dual_obj=-9215.76, overall time=66.3678
i=47, infea=0.577557, nnz_a=22.8001, nnz_b=43.9955, uni_search=0.892809, uni_subSolve=0.0983476, uni_maintain=0.105996, bi_search=0.274841, bi_subSolve=0.0576538, bi_maintain=0.0805242, admm_maintain=0.04537, area1=816.028, area23=1.79389, area4=1.10064, dual_obj=-9278.56, overall time=67.9859
i=48, infea=0.58001, nnz_a=22.9333, nnz_b=44.7249, uni_search=0.900257, uni_subSolve=0.0997464, uni_maintain=0.107846, bi_search=0.282856, bi_subSolve=0.0592987, bi_maintain=0.0829263, admm_maintain=0.0473554, area1=825.179, area23=1.82792, area4=1.10033, dual_obj=-9337.56, overall time=69.6293
i=49, infea=0.582293, nnz_a=23.0704, nnz_b=45.4414, uni_search=0.892135, uni_subSolve=0.0994027, uni_maintain=0.107052, bi_search=0.288147, bi_subSolve=0.0608414, bi_maintain=0.0846322, admm_maintain=0.0476382, area1=833.964, area23=1.86054, area4=1.12449, dual_obj=-9393.72, p_obj=16078.2, heldout Acc=0.603811 (1/100), overall time=71.2725
i=50, infea=0.584415, nnz_a=23.2112, nnz_b=46.1531, uni_search=0.883626, uni_subSolve=0.0969159, uni_maintain=0.104504, bi_search=0.309151, bi_subSolve=0.0648031, bi_maintain=0.0949895, admm_maintain=0.0442019, area1=842.516, area23=1.89223, area4=1.14548, dual_obj=-9446.63, overall time=72.9353
i=51, infea=0.586338, nnz_a=23.3496, nnz_b=46.8537, uni_search=0.887811, uni_subSolve=0.0979538, uni_maintain=0.105736, bi_search=0.312636, bi_subSolve=0.0661301, bi_maintain=0.0961677, admm_maintain=0.0444333, area1=850.882, area23=1.92554, area4=1.17156, dual_obj=-9495.83, overall time=74.6109
i=52, infea=0.587969, nnz_a=23.4803, nnz_b=47.5407, uni_search=0.88343, uni_subSolve=0.0979445, uni_maintain=0.105573, bi_search=0.315706, bi_subSolve=0.0674638, bi_maintain=0.097488, admm_maintain=0.0446868, area1=858.416, area23=1.95848, area4=1.20033, dual_obj=-9541.49, overall time=76.2879
i=53, infea=0.589406, nnz_a=23.5913, nnz_b=48.223, uni_search=0.883684, uni_subSolve=0.0985059, uni_maintain=0.106138, bi_search=0.321186, bi_subSolve=0.068891, bi_maintain=0.099328, admm_maintain=0.0449095, area1=866.209, area23=1.991, area4=1.25137, dual_obj=-9583.46, overall time=77.9754
i=54, infea=0.590691, nnz_a=23.7157, nnz_b=48.8956, uni_search=0.883568, uni_subSolve=0.0989215, uni_maintain=0.106453, bi_search=0.325135, bi_subSolve=0.0703961, bi_maintain=0.100534, admm_maintain=0.0452541, area1=873.554, area23=2.023, area4=1.26489, dual_obj=-9622.45, overall time=79.6703
