using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=62, infea=0.653793, nnz_a=20.2875, nnz_b=26.1089, uni_search=1.27838, uni_subSolve=0.125927, uni_maintain=0.155625, bi_search=44.7982, bi_subSolve=0.129782, bi_maintain=0.478575, admm_maintain=0.0963984, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9962.09, overall time=2388.47
i=63, infea=0.648036, nnz_a=20.428, nnz_b=26.3393, uni_search=1.31724, uni_subSolve=0.132603, uni_maintain=0.165751, bi_search=34.4496, bi_subSolve=0.0947073, bi_maintain=0.340293, admm_maintain=0.0675016, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9939.99, overall time=2425.16
i=64, infea=0.642227, nnz_a=20.5566, nnz_b=26.5744, uni_search=1.26393, uni_subSolve=0.132068, uni_maintain=0.157378, bi_search=20.8944, bi_subSolve=0.046205, bi_maintain=0.160441, admm_maintain=0.0681422, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9918.84, overall time=2447.97
i=65, infea=0.636298, nnz_a=20.6816, nnz_b=26.8065, uni_search=1.2645, uni_subSolve=0.133082, uni_maintain=0.158573, bi_search=27.6776, bi_subSolve=0.0729554, bi_maintain=0.260364, admm_maintain=0.103358, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9898.07, overall time=2477.75
i=66, infea=0.630577, nnz_a=20.8102, nnz_b=27.0463, uni_search=1.15063, uni_subSolve=0.117943, uni_maintain=0.138274, bi_search=40.7842, bi_subSolve=0.128358, bi_maintain=0.448231, admm_maintain=0.0940629, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9877.09, overall time=2520.75
i=67, infea=0.624806, nnz_a=20.9363, nnz_b=27.2796, uni_search=1.22781, uni_subSolve=0.127228, uni_maintain=0.158934, bi_search=45.0904, bi_subSolve=0.138855, bi_maintain=0.541305, admm_maintain=0.107414, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9856.76, overall time=2568.3
i=68, infea=0.619245, nnz_a=21.0663, nnz_b=27.5217, uni_search=1.36075, uni_subSolve=0.139935, uni_maintain=0.173828, bi_search=44.0339, bi_subSolve=0.133281, bi_maintain=0.529577, admm_maintain=0.110884, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9836.8, overall time=2614.93
i=69, infea=0.613859, nnz_a=21.185, nnz_b=27.7641, uni_search=1.36133, uni_subSolve=0.140122, uni_maintain=0.174705, bi_search=45.6227, bi_subSolve=0.140404, bi_maintain=0.533938, admm_maintain=0.0984553, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9816.99, p_obj=15994.6, heldout Acc=0.63929, overall time=2663.16
i=70, infea=0.608462, nnz_a=21.313, nnz_b=27.9816, uni_search=1.04385, uni_subSolve=0.108968, uni_maintain=0.131287, bi_search=32.6439, bi_subSolve=0.10726, bi_maintain=0.357289, admm_maintain=0.0581518, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9797.5, overall time=2697.72
i=71, infea=0.603153, nnz_a=21.4381, nnz_b=28.191, uni_search=1.0218, uni_subSolve=0.106683, uni_maintain=0.124418, bi_search=20.7718, bi_subSolve=0.0449231, bi_maintain=0.143228, admm_maintain=0.0558728, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9778.76, overall time=2720.07
