using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=5, admm_step_size=1, C=1, eta=10
i=0, infea=0.02011, nnz_a=2, nnz_b=2, uni_search=0.493165, uni_subSolve=0.0202199, uni_maintain=0.00951711, bi_search=0.137699, bi_subSolve=0.00907457, bi_maintain=0.0474869, admm_maintain=0.0144421, area1=1, area23=1.0004, area4=1, dual_obj=-208.399, overall time=1.19054
i=47, infea=0.0405704, nnz_a=14.1353, nnz_b=27.5667, uni_search=0.52478, uni_subSolve=0.11755, uni_maintain=0.130421, bi_search=0.981785, bi_subSolve=0.065298, bi_maintain=0.232295, admm_maintain=0.0650114, area1=1200.93, area23=1.24211, area4=1.5126, dual_obj=-1985.85, overall time=71.2841
i=48, infea=0.0404968, nnz_a=14.2367, nnz_b=27.8183, uni_search=0.539745, uni_subSolve=0.121024, uni_maintain=0.134745, bi_search=1.0651, bi_subSolve=0.0681464, bi_maintain=0.249579, admm_maintain=0.0882586, area1=1243.49, area23=1.24499, area4=1.5417, dual_obj=-2009.96, overall time=73.6607
i=49, infea=0.0404085, nnz_a=14.3367, nnz_b=28.0738, uni_search=0.475236, uni_subSolve=0.0987374, uni_maintain=0.105385, bi_search=0.852142, bi_subSolve=0.0605798, bi_maintain=0.205506, admm_maintain=0.0778948, area1=1286.64, area23=1.2497, area4=1.5754, dual_obj=-2033.31, p_obj=14792.3, heldout Acc=0.669514, overall time=75.6325
i=50, infea=0.0402524, nnz_a=14.4245, nnz_b=28.3118, uni_search=0.448283, uni_subSolve=0.0855254, uni_maintain=0.0891921, bi_search=0.665564, bi_subSolve=0.0527152, bi_maintain=0.159277, admm_maintain=0.0457328, area1=1329.74, area23=1.25311, area4=1.64997, dual_obj=-2057.08, overall time=77.2566
i=51, infea=0.040058, nnz_a=14.5166, nnz_b=28.5662, uni_search=0.449881, uni_subSolve=0.0858897, uni_maintain=0.0897248, bi_search=0.674931, bi_subSolve=0.0529015, bi_maintain=0.160154, admm_maintain=0.0482277, area1=1373.92, area23=1.2581, area4=1.74473, dual_obj=-2080.3, overall time=78.8957
i=52, infea=0.039953, nnz_a=14.6021, nnz_b=28.8118, uni_search=0.453792, uni_subSolve=0.0865917, uni_maintain=0.0908267, bi_search=0.684778, bi_subSolve=0.0532196, bi_maintain=0.160747, admm_maintain=0.0485573, area1=1418.71, area23=1.26262, area4=1.78257, dual_obj=-2102.84, overall time=80.5517
i=53, infea=0.0397884, nnz_a=14.7051, nnz_b=29.0472, uni_search=0.447976, uni_subSolve=0.0872577, uni_maintain=0.0917777, bi_search=0.699046, bi_subSolve=0.0536994, bi_maintain=0.162447, admm_maintain=0.047319, area1=1463.78, area23=1.26869, area4=1.83154, dual_obj=-2125.58, overall time=82.2194
i=54, infea=0.0397507, nnz_a=14.7906, nnz_b=29.2858, uni_search=0.446763, uni_subSolve=0.0877277, uni_maintain=0.0921604, bi_search=0.715294, bi_subSolve=0.0546572, bi_maintain=0.165178, admm_maintain=0.0477284, area1=1509.37, area23=1.2728, area4=1.9085, dual_obj=-2148.07, overall time=83.9089
i=55, infea=0.0396798, nnz_a=14.8659, nnz_b=29.5194, uni_search=0.450514, uni_subSolve=0.0878721, uni_maintain=0.092818, bi_search=0.77341, bi_subSolve=0.056268, bi_maintain=0.172334, admm_maintain=0.0712355, area1=1555.2, area23=1.27643, area4=1.98672, dual_obj=-2169.89, overall time=85.6951
i=56, infea=0.0395286, nnz_a=14.9609, nnz_b=29.7498, uni_search=0.472408, uni_subSolve=0.100704, uni_maintain=0.109035, bi_search=0.884773, bi_subSolve=0.0623144, bi_maintain=0.198459, admm_maintain=0.067662, area1=1601.39, area23=1.28114, area4=2.07338, dual_obj=-2191.81, overall time=87.6774
i=57, infea=0.039421, nnz_a=15.0377, nnz_b=29.9831, uni_search=0.470863, uni_subSolve=0.100868, uni_maintain=0.10937, bi_search=0.902926, bi_subSolve=0.0631157, bi_maintain=0.200852, admm_maintain=0.0759942, area1=1647.86, area23=1.28601, area4=2.17577, dual_obj=-2213.33, overall time=89.6892
i=58, infea=0.0393094, nnz_a=15.1153, nnz_b=30.2009, uni_search=0.478685, uni_subSolve=0.104787, uni_maintain=0.114551, bi_search=0.993679, bi_subSolve=0.0666457, bi_maintain=0.216353, admm_maintain=0.0677695, area1=1694.73, area23=1.28899, area4=2.23412, dual_obj=-2234.84, overall time=91.8202
i=59, infea=0.0391768, nnz_a=15.1959, nnz_b=30.4133, uni_search=0.476419, uni_subSolve=0.102686, uni_maintain=0.11137, bi_search=0.946733, bi_subSolve=0.0644075, bi_maintain=0.206834, admm_maintain=0.0651004, area1=1742.3, area23=1.29478, area4=2.36466, dual_obj=-2256.03, p_obj=14937.2, heldout Acc=0.686597, overall time=93.8825
i=60, infea=0.0390023, nnz_a=15.2756, nnz_b=30.621, uni_search=0.440345, uni_subSolve=0.0883397, uni_maintain=0.0935662, bi_search=0.769756, bi_subSolve=0.0566453, bi_maintain=0.171914, admm_maintain=0.0503594, area1=1789.51, area23=1.29882, area4=2.45099, dual_obj=-2277.32, overall time=95.6318
