using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=45, a_nnz=5.41453, ever_a_nnz=16.0795, b_nnz=186.963, uni_search=17.8965, uni_subSolve=2.06821, uni_maintain_time=0.207497, bi_search=0.993876, bi_subSolve=1.83573, bi_maintain_time=0.301151, admm_maintain=2.06147, area4=4.71084, infea=0.540722, d_obj=-27.8483, overall time=862.908
i=46, a_nnz=5.41842, ever_a_nnz=16.2098, b_nnz=190.957, uni_search=19.3905, uni_subSolve=2.15303, uni_maintain_time=0.219936, bi_search=1.53511, bi_subSolve=2.68479, bi_maintain_time=0.453523, admm_maintain=2.14077, area4=4.84655, infea=0.618478, d_obj=-21.2017, overall time=893.713
i=47, a_nnz=5.43444, ever_a_nnz=16.3472, b_nnz=195.233, uni_search=17.8203, uni_subSolve=1.9458, uni_maintain_time=0.242454, bi_search=1.32108, bi_subSolve=2.35163, bi_maintain_time=0.372743, admm_maintain=2.52998, area4=4.90655, infea=0.858507, d_obj=39.0722, overall time=922.011
i=48, a_nnz=5.45091, ever_a_nnz=16.4824, b_nnz=199.467, uni_search=15.5177, uni_subSolve=1.64035, uni_maintain_time=0.220393, bi_search=1.20485, bi_subSolve=2.22417, bi_maintain_time=0.409884, admm_maintain=1.6772, area4=5.06817, infea=2.31779, d_obj=3059.75, overall time=946.679
i=49, a_nnz=5.44696, ever_a_nnz=16.6138, b_nnz=203.591, uni_search=16.8709, uni_subSolve=1.93136, uni_maintain_time=0.171357, bi_search=1.21176, bi_subSolve=2.02332, bi_maintain_time=0.347698, admm_maintain=1.94377, area4=5.20554, infea=3.76654, d_obj=1339.7, p_obj=-59523, heldout Acc=1 (4/50), overall time=973.231
i=50, a_nnz=5.44319, ever_a_nnz=16.7472, b_nnz=207.829, uni_search=19.8376, uni_subSolve=2.19328, uni_maintain_time=0.212451, bi_search=1.58797, bi_subSolve=2.59599, bi_maintain_time=0.427143, admm_maintain=2.65655, area4=5.26273, infea=0.760029, d_obj=71.3817, overall time=1004.56
i=51, a_nnz=5.4587, ever_a_nnz=16.8753, b_nnz=211.918, uni_search=18.2123, uni_subSolve=1.93633, uni_maintain_time=0.199051, bi_search=1.29837, bi_subSolve=2.33427, bi_maintain_time=0.360481, admm_maintain=2.41758, area4=5.40342, infea=0.636114, d_obj=1.98293, overall time=1033.87
i=52, a_nnz=5.46483, ever_a_nnz=16.9984, b_nnz=215.879, uni_search=17.8704, uni_subSolve=2.05913, uni_maintain_time=0.200773, bi_search=1.1714, bi_subSolve=2.05069, bi_maintain_time=0.341016, admm_maintain=2.40853, area4=5.56351, infea=0.757417, d_obj=-16.175, overall time=1062.51
i=53, a_nnz=5.47255, ever_a_nnz=17.1213, b_nnz=219.892, uni_search=19.2411, uni_subSolve=2.15578, uni_maintain_time=0.179149, bi_search=1.49694, bi_subSolve=2.6325, bi_maintain_time=0.40102, admm_maintain=1.91179, area4=5.61611, infea=0.763066, d_obj=-23.7614, overall time=1093.26
i=54, a_nnz=5.48991, ever_a_nnz=17.2359, b_nnz=223.764, uni_search=16.8074, uni_subSolve=1.90056, uni_maintain_time=0.199512, bi_search=1.46437, bi_subSolve=2.58, bi_maintain_time=0.405989, admm_maintain=2.55467, area4=5.69514, infea=0.833926, d_obj=-25.899, overall time=1121.11
