using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=42, a_nnz=5.79778, ever_a_nnz=15.3015, b_nnz=164.513, uni_search=6.10975, uni_subSolve=0.615107, uni_maintain_time=0.105377, bi_search=0.394346, bi_subSolve=0.65427, bi_maintain_time=0.196001, admm_maintain=0.628004, area4=3.20707, infea=1.95283, d_obj=-7.70746, overall time=305.477
i=43, a_nnz=5.82414, ever_a_nnz=15.4323, b_nnz=168.121, uni_search=6.39515, uni_subSolve=0.663733, uni_maintain_time=0.111893, bi_search=0.408272, bi_subSolve=0.683864, bi_maintain_time=0.200231, admm_maintain=0.654014, area4=3.25763, infea=1.9783, d_obj=-6.36081, overall time=314.602
i=44, a_nnz=5.83384, ever_a_nnz=15.5647, b_nnz=171.841, uni_search=6.35669, uni_subSolve=0.643543, uni_maintain_time=0.10757, bi_search=0.415594, bi_subSolve=0.693125, bi_maintain_time=0.202445, admm_maintain=0.665338, area4=3.37457, infea=1.7803, d_obj=-6.04659, overall time=323.694
i=45, a_nnz=5.85357, ever_a_nnz=15.6942, b_nnz=175.38, uni_search=6.57226, uni_subSolve=0.688714, uni_maintain_time=0.113669, bi_search=0.546606, bi_subSolve=0.85739, bi_maintain_time=0.255681, admm_maintain=0.864858, area4=3.58394, infea=1.48125, d_obj=-8.8341, overall time=333.602
i=46, a_nnz=5.87348, ever_a_nnz=15.8147, b_nnz=178.814, uni_search=7.15387, uni_subSolve=0.88781, uni_maintain_time=0.162869, bi_search=0.581707, bi_subSolve=0.896385, bi_maintain_time=0.279591, admm_maintain=0.888793, area4=3.52866, infea=1.69471, d_obj=-9.94015, overall time=344.464
i=47, a_nnz=5.90272, ever_a_nnz=15.9347, b_nnz=182.363, uni_search=7.32119, uni_subSolve=0.837996, uni_maintain_time=0.137966, bi_search=0.633885, bi_subSolve=1.02865, bi_maintain_time=0.273555, admm_maintain=1.07928, area4=3.59326, infea=1.72608, d_obj=-11.0348, overall time=355.786
i=48, a_nnz=5.91734, ever_a_nnz=16.0525, b_nnz=185.945, uni_search=9.89495, uni_subSolve=0.976513, uni_maintain_time=0.131039, bi_search=0.646266, bi_subSolve=1.05146, bi_maintain_time=0.2714, admm_maintain=1.09791, area4=3.58279, infea=1.57501, d_obj=-11.4363, overall time=369.865
i=49, a_nnz=5.92729, ever_a_nnz=16.1644, b_nnz=189.416, uni_search=9.99978, uni_subSolve=0.988289, uni_maintain_time=0.131931, bi_search=0.653095, bi_subSolve=1.06472, bi_maintain_time=0.271805, admm_maintain=1.11845, area4=3.76573, infea=1.42419, d_obj=-13.3433., heldout Acc=0.995802 (3/100), overall time=384.104
i=50, a_nnz=5.95359, ever_a_nnz=16.2747, b_nnz=192.902, uni_search=6.46081, uni_subSolve=0.73772, uni_maintain_time=0.119398, bi_search=0.518166, bi_subSolve=0.830948, bi_maintain_time=0.235214, admm_maintain=0.799571, area4=3.89046, infea=1.3367, d_obj=-14.3146, overall time=393.814
i=51, a_nnz=5.96866, ever_a_nnz=16.3831, b_nnz=196.314, uni_search=6.46557, uni_subSolve=0.738163, uni_maintain_time=0.119318, bi_search=0.509896, bi_subSolve=0.824012, bi_maintain_time=0.232712, admm_maintain=0.969835, area4=3.99426, infea=1.40798, d_obj=-13.9451, overall time=403.682
i=52, a_nnz=5.98557, ever_a_nnz=16.491, b_nnz=199.691, uni_search=6.87892, uni_subSolve=0.826781, uni_maintain_time=0.131996, bi_search=0.577456, bi_subSolve=0.903254, bi_maintain_time=0.256871, admm_maintain=0.882176, area4=4.0286, infea=1.3887, d_obj=-14.4822, overall time=414.149
