using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=45, a_nnz=5.36184, ever_a_nnz=5.44761, b_nnz=33.4938, uni_search=3.52945, uni_subSolve=0.183179, uni_maintain_time=0.0481737, bi_search=44.7558, bi_subSolve=0.16616, bi_maintain_time=0.0879854, admm_maintain=0.120876, area4=-nan, infea=542.905, d_obj=-22877.8, overall time=2303.3
i=46, a_nnz=5.38123, ever_a_nnz=5.46743, b_nnz=33.9821, uni_search=3.96445, uni_subSolve=0.19853, uni_maintain_time=0.0522511, bi_search=44.6367, bi_subSolve=0.166616, bi_maintain_time=0.090299, admm_maintain=0.0892642, area4=-nan, infea=540.39, d_obj=-22943.4, overall time=2352.63
i=47, a_nnz=5.40101, ever_a_nnz=5.48807, b_nnz=34.479, uni_search=3.14838, uni_subSolve=0.146972, uni_maintain_time=0.0387482, bi_search=44.3783, bi_subSolve=0.162295, bi_maintain_time=0.0851983, admm_maintain=0.0926622, area4=-nan, infea=533.461, d_obj=-23013, overall time=2400.81
i=48, a_nnz=5.41838, ever_a_nnz=5.50612, b_nnz=34.9139, uni_search=3.14284, uni_subSolve=0.146394, uni_maintain_time=0.0386919, bi_search=44.9204, bi_subSolve=0.161758, bi_maintain_time=0.0850318, admm_maintain=0.12326, area4=-nan, infea=521.337, d_obj=-23085.4, overall time=2449.6
i=49, a_nnz=5.43662, ever_a_nnz=5.52546, b_nnz=35.4103, uni_search=4.43129, uni_subSolve=0.223287, uni_maintain_time=0.0498201, bi_search=44.65, bi_subSolve=0.149484, bi_maintain_time=0.078172, admm_maintain=0.102202, area4=-nan, infea=524.101, d_obj=-23143.1, p_obj=25856.7.........., heldout Acc=0.995133, overall time=2499.44
i=50, a_nnz=5.45337, ever_a_nnz=5.54317, b_nnz=35.8647, uni_search=4.55556, uni_subSolve=0.238901, uni_maintain_time=0.0525317, bi_search=44.9466, bi_subSolve=0.186982, bi_maintain_time=0.107779, admm_maintain=0.116383, area4=-nan, infea=519.9, d_obj=-23205, overall time=2549.81
i=51, a_nnz=5.46983, ever_a_nnz=5.5606, b_nnz=36.3279, uni_search=3.56844, uni_subSolve=0.189859, uni_maintain_time=0.0513939, bi_search=44.3536, bi_subSolve=0.172855, bi_maintain_time=0.0891989, admm_maintain=0.103909, area4=-nan, infea=517.588, d_obj=-23263.7, overall time=2598.49
i=52, a_nnz=5.48711, ever_a_nnz=5.57816, b_nnz=36.7904, uni_search=3.90108, uni_subSolve=0.194056, uni_maintain_time=0.0454662, bi_search=45.6939, bi_subSolve=0.214498, bi_maintain_time=0.135932, admm_maintain=0.116942, area4=-nan, infea=515.984, d_obj=-23321, overall time=2648.97
i=53, a_nnz=5.50434, ever_a_nnz=5.59587, b_nnz=37.2471, uni_search=3.50422, uni_subSolve=0.185803, uni_maintain_time=0.0490715, bi_search=44.3655, bi_subSolve=0.175561, bi_maintain_time=0.0858186, admm_maintain=0.120212, area4=-nan, infea=517.979, d_obj=-23372.6, overall time=2697.64
i=54, a_nnz=5.52167, ever_a_nnz=5.61382, b_nnz=37.7241, uni_search=3.56132, uni_subSolve=0.190938, uni_maintain_time=0.0495599, bi_search=44.9416, bi_subSolve=0.193708, bi_maintain_time=0.10721, admm_maintain=0.12324, area4=-nan, infea=509.586, d_obj=-23434.9, overall time=2746.98
i=55, a_nnz=5.53847, ever_a_nnz=5.63125, b_nnz=38.19, uni_search=4.39446, uni_subSolve=0.213445, uni_maintain_time=0.0474065, bi_search=45.6176, bi_subSolve=0.195212, bi_maintain_time=0.116857, admm_maintain=0.0919888, area4=-nan, infea=512.428, d_obj=-23484.4, overall time=2797.79
i=56, a_nnz=5.55407, ever_a_nnz=5.64761, b_nnz=38.6532, uni_search=3.39665, uni_subSolve=0.1608, uni_maintain_time=0.0396658, bi_search=44.525, bi_subSolve=0.180203, bi_maintain_time=0.0959464, admm_maintain=0.112408, area4=-nan, infea=515.037, d_obj=-23532.8, overall time=2846.46
i=57, a_nnz=5.56991, ever_a_nnz=5.66403, b_nnz=39.1006, uni_search=3.40851, uni_subSolve=0.175208, uni_maintain_time=0.0440912, bi_search=45.1471, bi_subSolve=0.207329, bi_maintain_time=0.116108, admm_maintain=0.142869, area4=-nan, infea=505.165, d_obj=-23592.9, overall time=2895.9
i=58, a_nnz=5.58594, ever_a_nnz=5.68063, b_nnz=39.56, uni_search=4.72778, uni_subSolve=0.240773, uni_maintain_time=0.0479188, bi_search=44.9063, bi_subSolve=0.195456, bi_maintain_time=0.105653, admm_maintain=0.122039, area4=-nan, infea=508.485, d_obj=-23640, overall time=2946.42
i=59, a_nnz=5.60202, ever_a_nnz=5.69738, b_nnz=40.0172, uni_search=4.1127, uni_subSolve=0.215151, uni_maintain_time=0.0505174, bi_search=44.7304, bi_subSolve=0.167283, bi_maintain_time=0.0818705, admm_maintain=0.11711, area4=-nan, infea=505.264, d_obj=-23692, p_obj=26697.5.........., heldout Acc=0.994956 (1/50), overall time=2996.06
i=60, a_nnz=5.61617, ever_a_nnz=5.71222, b_nnz=40.4279, uni_search=4.06343, uni_subSolve=0.198758, uni_maintain_time=0.0461116, bi_search=44.9859, bi_subSolve=0.18085, bi_maintain_time=0.105289, admm_maintain=0.0957322, area4=-nan, infea=501.228, d_obj=-23743.7, overall time=3045.87
i=61, a_nnz=5.63014, ever_a_nnz=5.72685, b_nnz=40.8807, uni_search=3.19854, uni_subSolve=0.149727, uni_maintain_time=0.0391192, bi_search=44.2156, bi_subSolve=0.143749, bi_maintain_time=0.0704426, admm_maintain=0.0994695, area4=-nan, infea=496.509, d_obj=-23794.1, overall time=3093.93
i=62, a_nnz=5.64478, ever_a_nnz=5.74183, b_nnz=41.3257, uni_search=3.18773, uni_subSolve=0.153248, uni_maintain_time=0.0390692, bi_search=44.1942, bi_subSolve=0.129879, bi_maintain_time=0.0602858, admm_maintain=0.10145, area4=-nan, infea=496.634, d_obj=-23840.9, overall time=3141.94
i=63, a_nnz=5.65894, ever_a_nnz=5.75652, b_nnz=41.7608, uni_search=3.17132, uni_subSolve=0.152368, uni_maintain_time=0.0391033, bi_search=44.2042, bi_subSolve=0.127884, bi_maintain_time=0.0599243, admm_maintain=0.101957, area4=-nan, infea=490.876, d_obj=-23891.1, overall time=3189.96
i=64, a_nnz=5.67238, ever_a_nnz=5.77087, b_nnz=42.2102, uni_search=3.94817, uni_subSolve=0.21328, uni_maintain_time=0.0553203, bi_search=44.3834, bi_subSolve=0.198366, bi_maintain_time=0.0988848, admm_maintain=0.12772, area4=-nan, infea=492.612, d_obj=-23934.3, overall time=3239.16
i=65, a_nnz=5.68663, ever_a_nnz=5.78603, b_nnz=42.6676, uni_search=3.54344, uni_subSolve=0.19667, uni_maintain_time=0.049805, bi_search=44.3477, bi_subSolve=0.186929, bi_maintain_time=0.0946949, admm_maintain=0.118578, area4=-nan, infea=487.793, d_obj=-23983.6, overall time=3287.87
i=66, a_nnz=5.70108, ever_a_nnz=5.80101, b_nnz=43.1402, uni_search=3.42318, uni_subSolve=0.179762, uni_maintain_time=0.0447231, bi_search=44.3673, bi_subSolve=0.187586, bi_maintain_time=0.0910799, admm_maintain=0.132683, area4=-nan, infea=487.828, d_obj=-24026.4, overall time=3336.48
i=67, a_nnz=5.71481, ever_a_nnz=5.81541, b_nnz=43.5713, uni_search=3.57342, uni_subSolve=0.199788, uni_maintain_time=0.0497649, bi_search=44.3229, bi_subSolve=0.180229, bi_maintain_time=0.0911946, admm_maintain=0.120667, area4=-nan, infea=482.122, d_obj=-24075.3, overall time=3385.18
i=68, a_nnz=5.72925, ever_a_nnz=5.83053, b_nnz=44.0339, uni_search=3.44361, uni_subSolve=0.182207, uni_maintain_time=0.0477549, bi_search=44.2851, bi_subSolve=0.157914, bi_maintain_time=0.0785145, admm_maintain=0.107199, area4=-nan, infea=485.297, d_obj=-24114.5, overall time=3433.63
i=69, a_nnz=5.74212, ever_a_nnz=5.84377, b_nnz=44.4395, uni_search=3.18673, uni_subSolve=0.153078, uni_maintain_time=0.0383666, bi_search=44.2287, bi_subSolve=0.165108, bi_maintain_time=0.0794607, admm_maintain=0.108906, area4=-nan, infea=473.574, d_obj=-24167.3, p_obj=21175.6.........., heldout Acc=0.996681, overall time=3481.73
i=70, a_nnz=5.75474, ever_a_nnz=5.85697, b_nnz=44.8631, uni_search=3.68872, uni_subSolve=0.214411, uni_maintain_time=0.0543205, bi_search=44.3916, bi_subSolve=0.166922, bi_maintain_time=0.079601, admm_maintain=0.125454, area4=-nan, infea=477.338, d_obj=-24204.8, overall time=3530.66
i=71, a_nnz=5.76813, ever_a_nnz=5.87084, b_nnz=45.3122, uni_search=3.74573, uni_subSolve=0.187752, uni_maintain_time=0.0414619, bi_search=44.152, bi_subSolve=0.12178, bi_maintain_time=0.0577785, admm_maintain=0.100706, area4=-nan, infea=465.833, d_obj=-24255.8, overall time=3579.2
i=72, a_nnz=5.77975, ever_a_nnz=5.88361, b_nnz=45.7301, uni_search=3.13027, uni_subSolve=0.147901, uni_maintain_time=0.0385993, bi_search=44.3288, bi_subSolve=0.1581, bi_maintain_time=0.0779627, admm_maintain=0.123657, area4=-nan, infea=463.656, d_obj=-24298, overall time=3627.37
i=73, a_nnz=5.79237, ever_a_nnz=5.89666, b_nnz=46.1543, uni_search=3.4432, uni_subSolve=0.184329, uni_maintain_time=0.0472351, bi_search=44.2787, bi_subSolve=0.175494, bi_maintain_time=0.0879248, admm_maintain=0.127463, area4=-nan, infea=461.367, d_obj=-24339.6, overall time=3675.89
i=74, a_nnz=5.8048, ever_a_nnz=5.90958, b_nnz=46.5897, uni_search=3.48401, uni_subSolve=0.188615, uni_maintain_time=0.0470949, bi_search=44.2991, bi_subSolve=0.179131, bi_maintain_time=0.090122, admm_maintain=0.10782, area4=-nan, infea=465.247, d_obj=-24375, overall time=3724.43
i=75, a_nnz=5.8168, ever_a_nnz=5.92215, b_nnz=47.0106, uni_search=3.22283, uni_subSolve=0.15748, uni_maintain_time=0.0391168, bi_search=44.7808, bi_subSolve=0.191083, bi_maintain_time=0.105018, admm_maintain=0.109626, area4=-nan, infea=459.7, d_obj=-24418.3, overall time=3773.22
i=76, a_nnz=5.82995, ever_a_nnz=5.93597, b_nnz=47.4719, uni_search=3.7491, uni_subSolve=0.187641, uni_maintain_time=0.0429187, bi_search=44.2775, bi_subSolve=0.178948, bi_maintain_time=0.091298, admm_maintain=0.111881, area4=-nan, infea=455.674, d_obj=-24460.5, overall time=3822
i=77, a_nnz=5.83979, ever_a_nnz=5.94663, b_nnz=47.8493, uni_search=4.15432, uni_subSolve=0.210736, uni_maintain_time=0.045548, bi_search=44.6411, bi_subSolve=0.1905, bi_maintain_time=0.0998127, admm_maintain=0.133903, area4=-nan, infea=449.41, d_obj=-24503.4, overall time=3871.65
i=78, a_nnz=5.85126, ever_a_nnz=5.95858, b_nnz=48.2662, uni_search=3.55658, uni_subSolve=0.196705, uni_maintain_time=0.0486532, bi_search=44.2561, bi_subSolve=0.177888, bi_maintain_time=0.0897516, admm_maintain=0.131031, area4=-nan, infea=450.698, d_obj=-24538.2, overall time=3920.29
i=79, a_nnz=5.86287, ever_a_nnz=5.97072, b_nnz=48.7004, uni_search=3.50914, uni_subSolve=0.190488, uni_maintain_time=0.0475475, bi_search=44.2385, bi_subSolve=0.163903, bi_maintain_time=0.0786519, admm_maintain=0.114049, area4=-nan, infea=442.124, d_obj=-24582.9, p_obj=20462.7.........., heldout Acc=0.996681 (1/50), overall time=3968.78
i=80, a_nnz=5.87348, ever_a_nnz=5.98176, b_nnz=49.1046, uni_search=3.19434, uni_subSolve=0.157233, uni_maintain_time=0.0390896, bi_search=44.3773, bi_subSolve=0.16352, bi_maintain_time=0.0805716, admm_maintain=0.131329, area4=-nan, infea=443.456, d_obj=-24617.7, overall time=4017.1
i=81, a_nnz=5.88457, ever_a_nnz=5.99338, b_nnz=49.5017, uni_search=3.49307, uni_subSolve=0.193347, uni_maintain_time=0.0478024, bi_search=44.2587, bi_subSolve=0.159398, bi_maintain_time=0.077548, admm_maintain=0.118787, area4=-nan, infea=439.285, d_obj=-24656.7, overall time=4065.59
i=82, a_nnz=5.89518, ever_a_nnz=6.00485, b_nnz=49.8986, uni_search=3.27475, uni_subSolve=0.164433, uni_maintain_time=0.0392627, bi_search=44.1926, bi_subSolve=0.157763, bi_maintain_time=0.0743378, admm_maintain=0.113513, area4=-nan, infea=433.281, d_obj=-24697.2, overall time=4113.76
