using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=62, a_nnz=10.2094, ever_a_nnz=12.8884, b_nnz=130.433, uni_search=6.17046, uni_subSolve=2.37108, uni_maintain_time=0.160959, bi_search=1.50943, bi_subSolve=1.69508, bi_maintain_time=0.363995, admm_maintain=1.70083, area4=1.0838, infea=634.267, d_obj=13980.2, overall time=450.987
i=63, a_nnz=10.2623, ever_a_nnz=12.9592, b_nnz=132.329, uni_search=5.77378, uni_subSolve=2.2019, uni_maintain_time=0.153239, bi_search=1.57122, bi_subSolve=1.75563, bi_maintain_time=0.386481, admm_maintain=1.6468, area4=1.08179, infea=628.785, d_obj=13909, overall time=464.491
i=64, a_nnz=10.3169, ever_a_nnz=13.0315, b_nnz=134.318, uni_search=5.31492, uni_subSolve=1.9163, uni_maintain_time=0.147037, bi_search=0.880721, bi_subSolve=0.973759, bi_maintain_time=0.275734, admm_maintain=1.18488, area4=1.08121, infea=630.361, d_obj=13838.3, overall time=475.198
i=65, a_nnz=10.3705, ever_a_nnz=13.1027, b_nnz=136.286, uni_search=3.7622, uni_subSolve=1.27513, uni_maintain_time=0.132686, bi_search=1.12497, bi_subSolve=1.32615, bi_maintain_time=0.320414, admm_maintain=1.34041, area4=1.08111, infea=627.013, d_obj=13733.3, overall time=484.494
i=66, a_nnz=10.4214, ever_a_nnz=13.1703, b_nnz=138.171, uni_search=4.61037, uni_subSolve=1.43012, uni_maintain_time=0.123824, bi_search=0.902792, bi_subSolve=1.10544, bi_maintain_time=0.268771, admm_maintain=1.15745, area4=1.07852, infea=621.872, d_obj=13618.7, overall time=494.106
i=67, a_nnz=10.4742, ever_a_nnz=13.2393, b_nnz=140.132, uni_search=5.60855, uni_subSolve=2.01841, uni_maintain_time=0.149442, bi_search=1.18207, bi_subSolve=1.39232, bi_maintain_time=0.33544, admm_maintain=1.26754, area4=1.08438, infea=626.395, d_obj=13511.2, overall time=506.074
i=68, a_nnz=10.522, ever_a_nnz=13.3078, b_nnz=142.111, uni_search=5.15265, uni_subSolve=1.65009, uni_maintain_time=0.137316, bi_search=1.42541, bi_subSolve=1.59778, bi_maintain_time=0.34919, admm_maintain=1.4584, area4=1.08361, infea=624.093, d_obj=13389.9, overall time=517.86
i=69, a_nnz=10.5722, ever_a_nnz=13.3772, b_nnz=144.104, uni_search=5.21368, uni_subSolve=1.62889, uni_maintain_time=0.130485, bi_search=1.13489, bi_subSolve=1.36666, bi_maintain_time=0.31028, admm_maintain=1.45968, area4=1.09023, infea=624.87, d_obj=13275.2, overall time=529.128
i=70, a_nnz=10.6199, ever_a_nnz=13.4409, b_nnz=145.978, uni_search=4.45534, uni_subSolve=1.51588, uni_maintain_time=0.124519, bi_search=1.2372, bi_subSolve=1.54172, bi_maintain_time=0.362212, admm_maintain=1.22564, area4=1.08169, infea=615.74, d_obj=13135.6, overall time=539.608
i=71, a_nnz=10.6678, ever_a_nnz=13.5068, b_nnz=147.932, uni_search=4.55392, uni_subSolve=1.60067, uni_maintain_time=0.130988, bi_search=1.20123, bi_subSolve=1.37379, bi_maintain_time=0.317378, admm_maintain=1.49059, area4=1.0886, infea=619.375, d_obj=13020, overall time=550.29
i=72, a_nnz=10.7162, ever_a_nnz=13.5721, b_nnz=149.858, uni_search=5.02299, uni_subSolve=1.71097, uni_maintain_time=0.132084, bi_search=1.14188, bi_subSolve=1.30123, bi_maintain_time=0.309413, admm_maintain=1.25783, area4=1.08975, infea=614.794, d_obj=12880.2, overall time=561.185
i=73, a_nnz=10.7627, ever_a_nnz=13.6355, b_nnz=151.746, uni_search=5.01533, uni_subSolve=1.70814, uni_maintain_time=0.130561, bi_search=1.08361, bi_subSolve=1.38768, bi_maintain_time=0.305173, admm_maintain=1.68009, area4=1.10002, infea=614.028, d_obj=12746, overall time=572.509
