using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.10
D=47237
K=225
N=20835
d=75.9802
r=6
i=39, a_nnz=8.69167, ever_a_nnz=10.8826, b_nnz=83.9362, uni_search=4.97151, uni_subSolve=1.62525, uni_maintain_time=0.146047, bi_search=0.826113, bi_subSolve=0.923288, bi_maintain_time=0.220539, admm_maintain=0.918264, area4=1.04387, infea=715.612, d_obj=13666.3, p_obj=267252, heldout Acc=1 (1/100), overall time=296.137
i=40, a_nnz=8.77207, ever_a_nnz=10.9848, b_nnz=85.9841, uni_search=4.72278, uni_subSolve=1.382, uni_maintain_time=0.135442, bi_search=0.760578, bi_subSolve=0.923378, bi_maintain_time=0.24138, admm_maintain=1.10575, area4=1.04934, infea=705.594, d_obj=13812.3, overall time=306.322
i=41, a_nnz=8.85044, ever_a_nnz=11.0831, b_nnz=87.9765, uni_search=5.77633, uni_subSolve=1.73398, uni_maintain_time=0.241118, bi_search=0.729965, bi_subSolve=0.967807, bi_maintain_time=0.2857, admm_maintain=1.15654, area4=1.04972, infea=701.689, d_obj=13954.7, overall time=318.307
i=42, a_nnz=8.92945, ever_a_nnz=11.1831, b_nnz=90.0054, uni_search=4.41962, uni_subSolve=1.46973, uni_maintain_time=0.163595, bi_search=0.980836, bi_subSolve=1.17535, bi_maintain_time=0.313273, admm_maintain=1.05957, area4=1.04886, infea=697.664, d_obj=14100.9, overall time=328.937
i=43, a_nnz=9.00302, ever_a_nnz=11.2778, b_nnz=91.9678, uni_search=5.38683, uni_subSolve=1.74719, uni_maintain_time=0.149025, bi_search=1.23741, bi_subSolve=1.38993, bi_maintain_time=0.384664, admm_maintain=1.36722, area4=1.04752, infea=688.037, d_obj=14227.5, overall time=341.701
i=44, a_nnz=9.08039, ever_a_nnz=11.373, b_nnz=93.957, uni_search=4.98037, uni_subSolve=1.63099, uni_maintain_time=0.150932, bi_search=0.863932, bi_subSolve=0.934802, bi_maintain_time=0.27053, admm_maintain=1.37641, area4=1.05635, infea=682.224, d_obj=14320.2, overall time=353.138
i=45, a_nnz=9.15181, ever_a_nnz=11.467, b_nnz=95.9852, uni_search=5.3842, uni_subSolve=1.63887, uni_maintain_time=0.16427, bi_search=0.768402, bi_subSolve=0.941081, bi_maintain_time=0.225743, admm_maintain=1.01272, area4=1.05654, infea=675.731, d_obj=14399, overall time=364.705
i=46, a_nnz=9.22414, ever_a_nnz=11.5561, b_nnz=97.9337, uni_search=5.52276, uni_subSolve=1.67639, uni_maintain_time=0.143813, bi_search=0.74869, bi_subSolve=0.936076, bi_maintain_time=0.2765, admm_maintain=0.956534, area4=1.05568, infea=670.929, d_obj=14433.2, overall time=376.284
i=47, a_nnz=9.29009, ever_a_nnz=11.6435, b_nnz=99.862, uni_search=5.52236, uni_subSolve=1.63343, uni_maintain_time=0.139736, bi_search=1.01663, bi_subSolve=1.42064, bi_maintain_time=0.371342, admm_maintain=1.05199, area4=1.05779, infea=667.339, d_obj=14440.6, overall time=388.724
i=48, a_nnz=9.35392, ever_a_nnz=11.7293, b_nnz=101.787, uni_search=5.14131, uni_subSolve=1.69585, uni_maintain_time=0.132515, bi_search=1.17447, bi_subSolve=1.47077, bi_maintain_time=0.343564, admm_maintain=1.67937, area4=1.0599, infea=665.81, d_obj=14404.8, overall time=401.877
