using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=44, a_nnz=7.72786, ever_a_nnz=7.78205, b_nnz=69.7913, uni_search=6.49983, uni_subSolve=0.480799, uni_maintain_time=0.0875044, bi_search=48.2657, bi_subSolve=0.613475, bi_maintain_time=0.288036, admm_maintain=0.293303, area4=-nan, infea=1128.02, d_obj=-16808.2, overall time=2444.04
i=45, a_nnz=7.77653, ever_a_nnz=7.8324, b_nnz=71.3712, uni_search=5.99737, uni_subSolve=0.398765, uni_maintain_time=0.0624848, bi_search=49.6825, bi_subSolve=0.778761, bi_maintain_time=0.378054, admm_maintain=0.419353, area4=-nan, infea=1103.49, d_obj=-16937.3, overall time=2502.32
i=46, a_nnz=7.824, ever_a_nnz=7.88054, b_nnz=72.9194, uni_search=7.43362, uni_subSolve=0.535174, uni_maintain_time=0.0761638, bi_search=48.8265, bi_subSolve=0.714531, bi_maintain_time=0.334388, admm_maintain=0.31541, area4=-nan, infea=1070.24, d_obj=-17070.9, overall time=2560.92
i=47, a_nnz=7.86887, ever_a_nnz=7.92661, b_nnz=74.4465, uni_search=6.82715, uni_subSolve=0.492019, uni_maintain_time=0.0714454, bi_search=47.877, bi_subSolve=0.62202, bi_maintain_time=0.286615, admm_maintain=0.249928, area4=-nan, infea=1063.36, d_obj=-17177.8, overall time=2617.64
i=48, a_nnz=7.91701, ever_a_nnz=7.97528, b_nnz=76.0587, uni_search=5.7709, uni_subSolve=0.390498, uni_maintain_time=0.0665383, bi_search=47.3744, bi_subSolve=0.580397, bi_maintain_time=0.266488, admm_maintain=0.34241, area4=-nan, infea=1069.42, d_obj=-17269.2, overall time=2672.8
i=49, a_nnz=7.96194, ever_a_nnz=8.02126, b_nnz=77.5802, uni_search=9.70863, uni_subSolve=0.723658, uni_maintain_time=0.0943126, bi_search=50.4525, bi_subSolve=0.902668, bi_maintain_time=0.435436, admm_maintain=0.468075, area4=-nan, infea=1035.61, d_obj=-17396.6, p_obj=28530.8.........., heldout Acc=0.994336, overall time=2736.25
i=50, a_nnz=8.0073, ever_a_nnz=8.06763, b_nnz=79.1585, uni_search=6.44139, uni_subSolve=0.495769, uni_maintain_time=0.0834387, bi_search=47.4071, bi_subSolve=0.60044, bi_maintain_time=0.27079, admm_maintain=0.168894, area4=-nan, infea=1050.27, d_obj=-17476.3, overall time=2791.92
i=51, a_nnz=8.04915, ever_a_nnz=8.11049, b_nnz=80.6518, uni_search=3.91343, uni_subSolve=0.2387, uni_maintain_time=0.0498323, bi_search=45.417, bi_subSolve=0.291107, bi_maintain_time=0.12623, admm_maintain=0.265214, area4=-nan, infea=1012, d_obj=-17603.9, overall time=2842.53
i=52, a_nnz=8.08822, ever_a_nnz=8.15018, b_nnz=82.0513, uni_search=5.49114, uni_subSolve=0.405823, uni_maintain_time=0.0711036, bi_search=46.1935, bi_subSolve=0.519565, bi_maintain_time=0.225604, admm_maintain=0.527899, area4=-nan, infea=986.865, d_obj=-17717.5, overall time=2896.35
i=53, a_nnz=8.12853, ever_a_nnz=8.19184, b_nnz=83.5446, uni_search=6.25227, uni_subSolve=0.498669, uni_maintain_time=0.0843875, bi_search=46.4238, bi_subSolve=0.584943, bi_maintain_time=0.254627, admm_maintain=0.422217, area4=-nan, infea=1008.59, d_obj=-17782.8, overall time=2951.32
