using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=46, a_nnz=9.24804, ever_a_nnz=11.6036, b_nnz=98.88, uni_search=3.31279, uni_subSolve=0.979695, uni_maintain_time=0.100287, bi_search=0.562571, bi_subSolve=0.681447, bi_maintain_time=0.179203, admm_maintain=0.688574, area4=1.05673, infea=676.397, d_obj=14660.7, overall time=259.792
i=47, a_nnz=9.31769, ever_a_nnz=11.6938, b_nnz=100.887, uni_search=3.36055, uni_subSolve=1.00048, uni_maintain_time=0.101321, bi_search=0.568187, bi_subSolve=0.690491, bi_maintain_time=0.183382, admm_maintain=0.691268, area4=1.05462, infea=671.584, d_obj=14664.6, overall time=267.068
i=48, a_nnz=9.38536, ever_a_nnz=11.7821, b_nnz=102.894, uni_search=3.37103, uni_subSolve=1.00047, uni_maintain_time=0.10169, bi_search=0.576076, bi_subSolve=0.699817, bi_maintain_time=0.183327, admm_maintain=0.706051, area4=1.05836, infea=668.182, d_obj=14644, overall time=274.385
i=49, a_nnz=9.45016, ever_a_nnz=11.8693, b_nnz=104.901, uni_search=3.4187, uni_subSolve=1.01407, uni_maintain_time=0.10223, bi_search=0.594059, bi_subSolve=0.720962, bi_maintain_time=0.188495, admm_maintain=0.730183, area4=1.06038, infea=667.438, d_obj=14617.1, overall time=281.856
i=50, a_nnz=9.51025, ever_a_nnz=11.9512, b_nnz=106.814, uni_search=3.43803, uni_subSolve=1.02255, uni_maintain_time=0.102579, bi_search=0.596098, bi_subSolve=0.722263, bi_maintain_time=0.186996, admm_maintain=0.776431, area4=1.05798, infea=660.983, d_obj=14539.5, overall time=289.446
i=51, a_nnz=9.57519, ever_a_nnz=12.0374, b_nnz=108.885, uni_search=3.57996, uni_subSolve=1.09492, uni_maintain_time=0.107602, bi_search=0.654579, bi_subSolve=0.780681, bi_maintain_time=0.201522, admm_maintain=0.79077, area4=1.0624, infea=664.386, d_obj=14484.2, overall time=297.421
i=52, a_nnz=9.63777, ever_a_nnz=12.1221, b_nnz=110.929, uni_search=3.63787, uni_subSolve=1.11603, uni_maintain_time=0.10879, bi_search=0.68472, bi_subSolve=0.814154, bi_maintain_time=0.205842, admm_maintain=0.820761, area4=1.06393, infea=663.187, d_obj=14411.6, overall time=305.595
i=53, a_nnz=9.7019, ever_a_nnz=12.2042, b_nnz=112.914, uni_search=3.67863, uni_subSolve=1.1324, uni_maintain_time=0.107713, bi_search=0.687905, bi_subSolve=0.820643, bi_maintain_time=0.207899, admm_maintain=0.831776, area4=1.06, infea=659.955, d_obj=14330.8, overall time=313.855
i=54, a_nnz=9.76415, ever_a_nnz=12.2874, b_nnz=114.985, uni_search=3.68406, uni_subSolve=1.1315, uni_maintain_time=0.108399, bi_search=0.699868, bi_subSolve=0.836228, bi_maintain_time=0.214891, admm_maintain=0.841994, area4=1.06412, infea=662.863, d_obj=14299.9, overall time=322.167
i=55, a_nnz=9.82645, ever_a_nnz=12.3697, b_nnz=117.057, uni_search=3.71161, uni_subSolve=1.14203, uni_maintain_time=0.109729, bi_search=0.705752, bi_subSolve=0.84479, bi_maintain_time=0.21612, admm_maintain=0.85984, area4=1.06854, infea=662.083, d_obj=14275, overall time=330.569
