using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=55, infea=0.0440386, nnz_a=4.96553, nnz_b=5.58076, uni_search=0.325076, uni_subSolve=0.0840794, uni_maintain=0.0549627, bi_search=1.06263, bi_subSolve=0.0908486, bi_maintain=0.0878639, admm_maintain=0.16568, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22594.7, p_obj=20760, heldout Acc=0.928657 (3/100), overall time=153.913
i=56, infea=0.0428891, nnz_a=4.98439, nnz_b=5.57011, uni_search=0.325332, uni_subSolve=0.0845811, uni_maintain=0.054706, bi_search=1.06268, bi_subSolve=0.0907076, bi_maintain=0.0875118, admm_maintain=0.165237, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22541.7, p_obj=22403.8, heldout Acc=0.928629 (4/100), overall time=156.657
i=57, infea=0.0417956, nnz_a=5.00185, nnz_b=5.55916, uni_search=0.32505, uni_subSolve=0.0848213, uni_maintain=0.0547737, bi_search=1.06288, bi_subSolve=0.0905974, bi_maintain=0.0870573, admm_maintain=0.166478, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22490.1, p_obj=22366.1, heldout Acc=0.928783, overall time=159.404
i=58, infea=0.0407802, nnz_a=5.01515, nnz_b=5.55027, uni_search=0.326273, uni_subSolve=0.0853245, uni_maintain=0.0554286, bi_search=1.06322, bi_subSolve=0.0904698, bi_maintain=0.0870745, admm_maintain=0.166881, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22442.7, p_obj=21136.3, heldout Acc=0.928783 (1/100), overall time=162.155
i=59, infea=0.0398029, nnz_a=5.03046, nnz_b=5.53987, uni_search=0.327418, uni_subSolve=0.0855772, uni_maintain=0.0554073, bi_search=1.06278, bi_subSolve=0.090366, bi_maintain=0.0862029, admm_maintain=0.165924, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22397.9, p_obj=20306.1, heldout Acc=0.928945, overall time=164.903
i=60, infea=0.0388796, nnz_a=5.04281, nnz_b=5.5317, uni_search=0.324749, uni_subSolve=0.0855656, uni_maintain=0.0556038, bi_search=1.06226, bi_subSolve=0.0900498, bi_maintain=0.0858292, admm_maintain=0.165632, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22356.6, p_obj=20786.7, heldout Acc=0.928909 (1/100), overall time=167.645
i=61, infea=0.0379991, nnz_a=5.05228, nnz_b=5.52346, uni_search=0.325329, uni_subSolve=0.0858626, uni_maintain=0.0555835, bi_search=1.06256, bi_subSolve=0.0899952, bi_maintain=0.085774, admm_maintain=0.166799, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22316.5, p_obj=20406.5, heldout Acc=0.928981, overall time=170.389
i=62, infea=0.0371503, nnz_a=5.05784, nnz_b=5.51514, uni_search=0.325572, uni_subSolve=0.0860259, uni_maintain=0.0563484, bi_search=1.06266, bi_subSolve=0.0899272, bi_maintain=0.0854346, admm_maintain=0.166567, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22276.2, p_obj=20136, heldout Acc=0.928864 (1/100), overall time=173.133
i=63, infea=0.0363367, nnz_a=5.06363, nnz_b=5.50729, uni_search=0.32573, uni_subSolve=0.0861507, uni_maintain=0.0561697, bi_search=1.06297, bi_subSolve=0.0897563, bi_maintain=0.0851318, admm_maintain=0.191361, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22238.6, p_obj=21737.4, heldout Acc=0.928918 (2/100), overall time=175.908
i=64, infea=0.0355486, nnz_a=5.06824, nnz_b=5.49891, uni_search=0.339125, uni_subSolve=0.0909051, uni_maintain=0.0593453, bi_search=1.10294, bi_subSolve=0.102998, bi_maintain=0.0911525, admm_maintain=0.164274, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22204, p_obj=21727.9, heldout Acc=0.9289 (3/100), overall time=178.807
i=65, infea=0.0348042, nnz_a=5.0726, nnz_b=5.49159, uni_search=0.331082, uni_subSolve=0.0902128, uni_maintain=0.05815, bi_search=1.09416, bi_subSolve=0.101618, bi_maintain=0.0895139, admm_maintain=0.165881, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22170.1, p_obj=20820.3, heldout Acc=0.929171, overall time=181.673
i=66, infea=0.0340871, nnz_a=5.07684, nnz_b=5.4846, uni_search=0.325419, uni_subSolve=0.0863121, uni_maintain=0.0565096, bi_search=1.06243, bi_subSolve=0.0891939, bi_maintain=0.0846732, admm_maintain=0.165588, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22137.4, p_obj=20581.1, heldout Acc=0.929035 (1/100), overall time=184.423
i=67, infea=0.0333773, nnz_a=5.08011, nnz_b=5.4801, uni_search=0.325325, uni_subSolve=0.0865179, uni_maintain=0.0567134, bi_search=1.06267, bi_subSolve=0.0891033, bi_maintain=0.0843784, admm_maintain=0.166274, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22106.7, p_obj=19972.5, heldout Acc=0.928828 (2/100), overall time=187.17
i=68, infea=0.0327005, nnz_a=5.08245, nnz_b=5.47351, uni_search=0.326851, uni_subSolve=0.0866043, uni_maintain=0.0577541, bi_search=1.06359, bi_subSolve=0.0892066, bi_maintain=0.0840743, admm_maintain=0.16677, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22078, p_obj=20017.2, heldout Acc=0.929117 (3/100), overall time=189.922
i=69, infea=0.0320403, nnz_a=5.08449, nnz_b=5.46548, uni_search=0.324357, uni_subSolve=0.0865784, uni_maintain=0.0568626, bi_search=1.06226, bi_subSolve=0.089087, bi_maintain=0.0835411, admm_maintain=0.165667, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22050.7, p_obj=20520.4, heldout Acc=0.929053 (4/100), overall time=192.691
i=70, infea=0.0313966, nnz_a=5.08639, nnz_b=5.45885, uni_search=0.325394, uni_subSolve=0.0867154, uni_maintain=0.0571995, bi_search=1.06241, bi_subSolve=0.0888635, bi_maintain=0.0832527, admm_maintain=0.16653, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22024.1, p_obj=20091.1, heldout Acc=0.929144 (5/100), overall time=195.436
i=71, infea=0.0307671, nnz_a=5.08816, nnz_b=5.45421, uni_search=0.325456, uni_subSolve=0.0866635, uni_maintain=0.0565254, bi_search=1.06225, bi_subSolve=0.0887416, bi_maintain=0.0832141, admm_maintain=0.167266, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21998.2, p_obj=19109.2, heldout Acc=0.929117 (6/100), overall time=198.181
i=72, infea=0.0301587, nnz_a=5.09035, nnz_b=5.448, uni_search=0.325515, uni_subSolve=0.0867209, uni_maintain=0.0568528, bi_search=1.06214, bi_subSolve=0.0886778, bi_maintain=0.0827956, admm_maintain=0.166565, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21972.2, p_obj=20581.6, heldout Acc=0.929243, overall time=200.93
