using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=56, infea=0.0415548, nnz_a=8.97672, nnz_b=13.7008, uni_search=0.213035, uni_subSolve=0.0581038, uni_maintain=0.0703795, bi_search=1.03256, bi_subSolve=0.199093, bi_maintain=0.121769, admm_maintain=0.135051, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16063.3, p_obj=30767.8, heldout Acc=0.930389, overall time=143.324
i=57, infea=0.0417242, nnz_a=9.01283, nnz_b=13.7444, uni_search=0.213039, uni_subSolve=0.0582658, uni_maintain=0.0708443, bi_search=1.03242, bi_subSolve=0.200205, bi_maintain=0.122085, admm_maintain=0.134202, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16203.9, p_obj=29657.6, heldout Acc=0.930497, overall time=145.954
i=58, infea=0.0418839, nnz_a=9.0506, nnz_b=13.7878, uni_search=0.213225, uni_subSolve=0.0582245, uni_maintain=0.0708452, bi_search=1.03398, bi_subSolve=0.202329, bi_maintain=0.122729, admm_maintain=0.148579, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16340.5, p_obj=28646, heldout Acc=0.930461 (1/100), overall time=148.612
i=59, infea=0.042042, nnz_a=9.08893, nnz_b=13.8288, uni_search=0.213229, uni_subSolve=0.0583004, uni_maintain=0.0710746, bi_search=1.03297, bi_subSolve=0.20073, bi_maintain=0.122506, admm_maintain=0.135068, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16473.6, p_obj=29513.7, heldout Acc=0.930416 (2/100), overall time=151.244
i=60, infea=0.0421823, nnz_a=9.12383, nnz_b=13.869, uni_search=0.213195, uni_subSolve=0.0583335, uni_maintain=0.0711364, bi_search=1.03298, bi_subSolve=0.200607, bi_maintain=0.122665, admm_maintain=0.135215, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16604, p_obj=28804.8, heldout Acc=0.930109 (3/100), overall time=153.877
i=61, infea=0.0423302, nnz_a=9.15858, nnz_b=13.9085, uni_search=0.213306, uni_subSolve=0.0584377, uni_maintain=0.07144, bi_search=1.03313, bi_subSolve=0.202109, bi_maintain=0.122701, admm_maintain=0.136525, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16731, p_obj=29117.9, heldout Acc=0.930217 (4/100), overall time=156.52
i=62, infea=0.0424683, nnz_a=9.19317, nnz_b=13.9475, uni_search=0.21319, uni_subSolve=0.0584419, uni_maintain=0.0717689, bi_search=1.03289, bi_subSolve=0.202804, bi_maintain=0.122987, admm_maintain=0.13515, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16854.2, p_obj=30199.1, heldout Acc=0.930208 (5/100), overall time=159.184
i=63, infea=0.0425912, nnz_a=9.2272, nnz_b=13.9854, uni_search=0.213414, uni_subSolve=0.0584906, uni_maintain=0.0719477, bi_search=1.0331, bi_subSolve=0.20238, bi_maintain=0.123257, admm_maintain=0.141485, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16974.6, p_obj=31106.7, heldout Acc=0.930064 (6/100), overall time=161.83
i=64, infea=0.0427162, nnz_a=9.26152, nnz_b=14.0231, uni_search=0.213335, uni_subSolve=0.0585755, uni_maintain=0.0720448, bi_search=1.03294, bi_subSolve=0.202899, bi_maintain=0.123655, admm_maintain=0.136205, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17091.6, p_obj=28425.9, heldout Acc=0.93102, overall time=164.469
i=65, infea=0.0428352, nnz_a=9.29474, nnz_b=14.0603, uni_search=0.213259, uni_subSolve=0.0585991, uni_maintain=0.0720188, bi_search=1.03345, bi_subSolve=0.203603, bi_maintain=0.123778, admm_maintain=0.140457, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17205.5, p_obj=27385.9, heldout Acc=0.93001 (1/100), overall time=167.117
