using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=3, admm_step_size=1, C=1, eta=0.1
i=40, infea=0.0716761, nnz_a=4.37459, nnz_b=5.75275, uni_search=0.225452, uni_subSolve=0.0783787, uni_maintain=0.0490136, bi_search=0.753316, bi_subSolve=0.0895274, bi_maintain=0.082094, admm_maintain=0.134416, area1=83.9305, area23=1.75449, area4=8.69253, dual_obj=-23980, p_obj=22097.1, heldout Acc=0.928232 (2/100), overall time=83.3985
i=41, infea=0.0693558, nnz_a=4.36477, nnz_b=5.74216, uni_search=0.221903, uni_subSolve=0.078004, uni_maintain=0.0498793, bi_search=0.761177, bi_subSolve=0.0895026, bi_maintain=0.0821988, admm_maintain=0.13858, area1=86.2809, area23=1.74808, area4=8.77842, dual_obj=-23864.2, p_obj=20811.6, heldout Acc=0.928458, overall time=85.6394
i=42, infea=0.0671389, nnz_a=4.35833, nnz_b=5.72954, uni_search=0.22556, uni_subSolve=0.0784625, uni_maintain=0.0500791, bi_search=0.762638, bi_subSolve=0.089008, bi_maintain=0.0813511, admm_maintain=0.139559, area1=88.5474, area23=1.74224, area4=8.84819, dual_obj=-23753.4, p_obj=22196, heldout Acc=0.92826 (1/100), overall time=87.8866
i=43, infea=0.0650255, nnz_a=4.34842, nnz_b=5.71868, uni_search=0.22572, uni_subSolve=0.0784823, uni_maintain=0.0496142, bi_search=0.77734, bi_subSolve=0.0894272, bi_maintain=0.0815446, admm_maintain=0.133287, area1=90.6914, area23=1.73704, area4=8.92532, dual_obj=-23645.9, p_obj=20954.8, heldout Acc=0.928566, overall time=90.1379
i=44, infea=0.0630051, nnz_a=4.33745, nnz_b=5.70807, uni_search=0.216478, uni_subSolve=0.0770479, uni_maintain=0.0490881, bi_search=0.779304, bi_subSolve=0.0890793, bi_maintain=0.0808299, admm_maintain=0.143274, area1=92.7611, area23=1.73273, area4=8.99115, dual_obj=-23540.5, p_obj=20835.8, heldout Acc=0.928566 (1/100), overall time=92.3956
i=45, infea=0.0611019, nnz_a=4.32665, nnz_b=5.69064, uni_search=0.218789, uni_subSolve=0.0773384, uni_maintain=0.0491826, bi_search=0.778715, bi_subSolve=0.0882725, bi_maintain=0.0799547, admm_maintain=0.130781, area1=94.7436, area23=1.7281, area4=9.05278, dual_obj=-23441.1, p_obj=20965, heldout Acc=0.928214 (2/100), overall time=94.6296
i=46, infea=0.0592355, nnz_a=4.31423, nnz_b=5.67702, uni_search=0.219757, uni_subSolve=0.077717, uni_maintain=0.0493386, bi_search=0.783481, bi_subSolve=0.088147, bi_maintain=0.0799405, admm_maintain=0.130115, area1=96.6313, area23=1.72192, area4=9.07703, dual_obj=-23347.9, p_obj=21177.9, heldout Acc=0.928666, overall time=96.8712
i=47, infea=0.057471, nnz_a=4.30325, nnz_b=5.66323, uni_search=0.21934, uni_subSolve=0.0773657, uni_maintain=0.0493181, bi_search=0.786775, bi_subSolve=0.0878463, bi_maintain=0.0793236, admm_maintain=0.132479, area1=98.4136, area23=1.71725, area4=9.11975, dual_obj=-23255.9, p_obj=21502.1, heldout Acc=0.92835 (1/100), overall time=99.1162
i=48, infea=0.0558163, nnz_a=4.29, nnz_b=5.64536, uni_search=0.223672, uni_subSolve=0.0781293, uni_maintain=0.0495227, bi_search=0.798128, bi_subSolve=0.088573, bi_maintain=0.0801089, admm_maintain=0.13766, area1=100.11, area23=1.71428, area4=9.17085, dual_obj=-23170.6, p_obj=21593, heldout Acc=0.928557 (2/100), overall time=101.392
i=49, infea=0.0542271, nnz_a=4.27867, nnz_b=5.63056, uni_search=0.225574, uni_subSolve=0.0781433, uni_maintain=0.0498004, bi_search=0.80319, bi_subSolve=0.0883851, bi_maintain=0.0798283, admm_maintain=0.137992, area1=101.723, area23=1.71062, area4=9.19948, dual_obj=-23088.5, p_obj=21994.2, heldout Acc=0.928584 (3/100), overall time=103.677
i=50, infea=0.0527246, nnz_a=4.26973, nnz_b=5.61537, uni_search=0.226116, uni_subSolve=0.0780889, uni_maintain=0.0499296, bi_search=0.806027, bi_subSolve=0.088062, bi_maintain=0.0792485, admm_maintain=0.138645, area1=103.272, area23=1.70724, area4=9.2417, dual_obj=-23008.6, p_obj=21187.8, heldout Acc=0.928584 (4/100), overall time=105.964
i=51, infea=0.0512803, nnz_a=4.2581, nnz_b=5.60016, uni_search=0.264782, uni_subSolve=0.0854335, uni_maintain=0.0563438, bi_search=0.852544, bi_subSolve=0.0985256, bi_maintain=0.087166, admm_maintain=0.148934, area1=104.749, area23=1.70362, area4=9.26105, dual_obj=-22935, p_obj=21296.8, heldout Acc=0.92844 (5/100), overall time=108.462
