using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=63, a_nnz=10.2589, ever_a_nnz=12.9397, b_nnz=131.942, uni_search=3.58795, uni_subSolve=0.942275, uni_maintain_time=0.0867962, bi_search=0.485058, bi_subSolve=0.7701, bi_maintain_time=0.20884, admm_maintain=0.809801, area4=1.08255, infea=631.174, d_obj=13900.8, overall time=299.422
i=64, a_nnz=10.309, ever_a_nnz=13.0095, b_nnz=133.881, uni_search=3.56894, uni_subSolve=0.934302, uni_maintain_time=0.0852824, bi_search=0.475636, bi_subSolve=0.75704, bi_maintain_time=0.20354, admm_maintain=0.75332, area4=1.0887, infea=626.706, d_obj=13844.9, overall time=306.974
i=65, a_nnz=10.3585, ever_a_nnz=13.0775, b_nnz=135.736, uni_search=3.51427, uni_subSolve=0.927729, uni_maintain_time=0.0853053, bi_search=0.531925, bi_subSolve=0.851824, bi_maintain_time=0.229862, admm_maintain=0.76451, area4=1.08649, infea=621.426, d_obj=13764.6, overall time=314.559
i=66, a_nnz=10.4129, ever_a_nnz=13.1485, b_nnz=137.736, uni_search=3.6945, uni_subSolve=0.986175, uni_maintain_time=0.0884289, bi_search=0.51318, bi_subSolve=0.800091, bi_maintain_time=0.211812, admm_maintain=0.862249, area4=1.09551, infea=623.401, d_obj=13680.4, overall time=322.502
i=67, a_nnz=10.466, ever_a_nnz=13.2192, b_nnz=139.697, uni_search=3.63479, uni_subSolve=0.973302, uni_maintain_time=0.0875088, bi_search=0.547081, bi_subSolve=0.869252, bi_maintain_time=0.225855, admm_maintain=0.762475, area4=1.09033, infea=623.252, d_obj=13553.7, overall time=330.269
i=68, a_nnz=10.5168, ever_a_nnz=13.2861, b_nnz=141.657, uni_search=3.68986, uni_subSolve=0.971895, uni_maintain_time=0.0870168, bi_search=0.498791, bi_subSolve=0.783973, bi_maintain_time=0.212573, admm_maintain=0.826934, area4=1.09023, infea=618.077, d_obj=13417.3, overall time=338.147
i=69, a_nnz=10.5644, ever_a_nnz=13.3531, b_nnz=143.577, uni_search=3.62213, uni_subSolve=0.961826, uni_maintain_time=0.0867679, bi_search=0.544902, bi_subSolve=0.859048, bi_maintain_time=0.233697, admm_maintain=0.880728, area4=1.08937, infea=614.512, d_obj=13259.3, p_obj=309675., heldout Acc=0.996889, overall time=346.105
i=70, a_nnz=10.6116, ever_a_nnz=13.4171, b_nnz=145.481, uni_search=3.61421, uni_subSolve=1.12905, uni_maintain_time=0.0931594, bi_search=0.655417, bi_subSolve=0.917596, bi_maintain_time=0.23868, admm_maintain=0.92804, area4=1.0934, infea=616.09, d_obj=13085.7, overall time=354.285
i=71, a_nnz=10.6594, ever_a_nnz=13.4835, b_nnz=147.431, uni_search=2.52112, uni_subSolve=0.750547, uni_maintain_time=0.0837878, bi_search=0.454259, bi_subSolve=0.616957, bi_maintain_time=0.188668, admm_maintain=0.665297, area4=1.08908, infea=610.1, d_obj=12915.3, overall time=360.178
i=72, a_nnz=10.7093, ever_a_nnz=13.5486, b_nnz=149.38, uni_search=2.53132, uni_subSolve=0.756473, uni_maintain_time=0.0839159, bi_search=0.463245, bi_subSolve=0.626021, bi_maintain_time=0.191938, admm_maintain=0.673573, area4=1.09052, infea=617.3, d_obj=12785, overall time=366.124
i=73, a_nnz=10.756, ever_a_nnz=13.6137, b_nnz=151.357, uni_search=2.54353, uni_subSolve=0.762783, uni_maintain_time=0.0841868, bi_search=0.463341, bi_subSolve=0.628754, bi_maintain_time=0.192713, admm_maintain=0.678082, area4=1.08985, infea=617.577, d_obj=12650.6, overall time=372.112
i=74, a_nnz=10.803, ever_a_nnz=13.6788, b_nnz=153.377, uni_search=2.5576, uni_subSolve=0.77003, uni_maintain_time=0.0847172, bi_search=0.468313, bi_subSolve=0.636081, bi_maintain_time=0.19444, admm_maintain=0.688762, area4=1.08754, infea=620.905, d_obj=12549.2, overall time=378.158
i=75, a_nnz=10.8518, ever_a_nnz=13.7437, b_nnz=155.365, uni_search=2.57134, uni_subSolve=0.776665, uni_maintain_time=0.084733, bi_search=0.473142, bi_subSolve=0.642744, bi_maintain_time=0.196678, admm_maintain=0.695256, area4=1.09378, infea=617.463, d_obj=12450.8, overall time=384.257
i=76, a_nnz=10.9011, ever_a_nnz=13.8091, b_nnz=157.378, uni_search=2.58928, uni_subSolve=0.786098, uni_maintain_time=0.0856198, bi_search=0.47874, bi_subSolve=0.650267, bi_maintain_time=0.198257, admm_maintain=0.704244, area4=1.09801, infea=618.18, d_obj=12376.3, overall time=390.405
i=77, a_nnz=10.9453, ever_a_nnz=13.8701, b_nnz=159.328, uni_search=3.31488, uni_subSolve=1.04801, uni_maintain_time=0.0944687, bi_search=0.754141, bi_subSolve=1.03386, bi_maintain_time=0.268045, admm_maintain=1.11334, area4=1.09935, infea=614.285, d_obj=12283.7, overall time=398.948
i=78, a_nnz=10.9886, ever_a_nnz=13.9297, b_nnz=161.27, uni_search=3.94409, uni_subSolve=1.2826, uni_maintain_time=0.103794, bi_search=0.782519, bi_subSolve=1.06864, bi_maintain_time=0.275297, admm_maintain=1.11198, area4=1.09954, infea=610.031, d_obj=12208.7, overall time=408.287
i=79, a_nnz=11.0362, ever_a_nnz=13.9916, b_nnz=163.228, uni_search=3.38414, uni_subSolve=0.868388, uni_maintain_time=0.079174, bi_search=0.334371, bi_subSolve=0.544899, bi_maintain_time=0.15473, admm_maintain=0.536454, area4=1.09369, infea=610.624, d_obj=12123.9, p_obj=290095., heldout Acc=0.998667, overall time=414.675
i=80, a_nnz=11.0789, ever_a_nnz=14.0511, b_nnz=165.175, uni_search=3.3647, uni_subSolve=0.806527, uni_maintain_time=0.0769102, bi_search=0.449995, bi_subSolve=0.774128, bi_maintain_time=0.214553, admm_maintain=0.751695, area4=1.10127, infea=607.183, d_obj=12054.3, overall time=421.787
i=81, a_nnz=11.1236, ever_a_nnz=14.1106, b_nnz=167.112, uni_search=3.37342, uni_subSolve=0.810228, uni_maintain_time=0.0776213, bi_search=0.455632, bi_subSolve=0.780412, bi_maintain_time=0.215602, admm_maintain=0.760869, area4=1.11078, infea=604.023, d_obj=11946.4, overall time=428.943
i=82, a_nnz=11.1641, ever_a_nnz=14.1689, b_nnz=169.017, uni_search=3.39294, uni_subSolve=0.814481, uni_maintain_time=0.0773715, bi_search=0.462762, bi_subSolve=0.791348, bi_maintain_time=0.2154, admm_maintain=0.770363, area4=1.10713, infea=600.754, d_obj=11813.9, overall time=436.158
i=83, a_nnz=11.2057, ever_a_nnz=14.2248, b_nnz=170.884, uni_search=3.40907, uni_subSolve=0.821984, uni_maintain_time=0.0778808, bi_search=0.465488, bi_subSolve=0.798205, bi_maintain_time=0.220559, admm_maintain=0.775523, area4=1.10415, infea=596.087, d_obj=11662.2, overall time=443.421
