using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=0.1
i=71, infea=0.648074, nnz_a=18.4859, nnz_b=24.4704, uni_search=23.4721, uni_subSolve=1.53481, uni_maintain=1.41866, bi_search=37.573, bi_subSolve=0.908213, bi_maintain=3.99775, admm_maintain=0.727145, area1=3002.3, area23=1.24062, area4=1.04288, dual_obj=-148891, overall time=3378.15
i=72, infea=0.646538, nnz_a=18.5643, nnz_b=24.5532, uni_search=19.8584, uni_subSolve=0.996298, uni_maintain=0.874624, bi_search=25.8737, bi_subSolve=0.687219, bi_maintain=2.81293, admm_maintain=0.920268, area1=3048.56, area23=1.24684, area4=1.0456, dual_obj=-149083, overall time=3433.73
i=73, infea=0.644805, nnz_a=18.6427, nnz_b=24.6335, uni_search=21.2126, uni_subSolve=1.17855, uni_maintain=1.09408, bi_search=25.8391, bi_subSolve=0.681834, bi_maintain=2.7768, admm_maintain=0.893042, area1=3094.02, area23=1.2534, area4=1.04808, dual_obj=-149251, overall time=3491.06
i=74, infea=0.643038, nnz_a=18.7161, nnz_b=24.7186, uni_search=20.6823, uni_subSolve=1.12034, uni_maintain=1.02527, bi_search=22.7363, bi_subSolve=0.641362, bi_maintain=2.48897, admm_maintain=0.731112, area1=3138.58, area23=1.25988, area4=1.05327, dual_obj=-149394, overall time=3544.24
i=75, infea=0.641187, nnz_a=18.7877, nnz_b=24.8041, uni_search=24.4923, uni_subSolve=1.87812, uni_maintain=1.74513, bi_search=38.5113, bi_subSolve=0.964872, bi_maintain=4.16828, admm_maintain=1.29252, area1=3181.99, area23=1.26654, area4=1.0542, dual_obj=-149526, overall time=3622.09
i=76, infea=0.639243, nnz_a=18.8632, nnz_b=24.8895, uni_search=24.5918, uni_subSolve=1.89919, uni_maintain=1.7496, bi_search=45.0781, bi_subSolve=1.08348, bi_maintain=4.80658, admm_maintain=1.53293, area1=3224.58, area23=1.27305, area4=1.05868, dual_obj=-149654, overall time=3707.68
i=77, infea=0.637149, nnz_a=18.9372, nnz_b=24.9782, uni_search=23.3721, uni_subSolve=1.54178, uni_maintain=1.55115, bi_search=30.252, bi_subSolve=0.734441, bi_maintain=3.02123, admm_maintain=1.09906, area1=3265.82, area23=1.27985, area4=1.05744, dual_obj=-149750, overall time=3773.36
i=78, infea=0.635128, nnz_a=19.0112, nnz_b=25.0671, uni_search=22.1768, uni_subSolve=1.34224, uni_maintain=1.29607, bi_search=30.5645, bi_subSolve=0.735531, bi_maintain=3.01658, admm_maintain=1.10422, area1=3306.37, area23=1.28686, area4=1.06684, dual_obj=-149846, overall time=3837.54
i=79, infea=0.633095, nnz_a=19.0808, nnz_b=25.156, uni_search=24.1119, uni_subSolve=1.82929, uni_maintain=1.55195, bi_search=46.47, bi_subSolve=1.09406, bi_maintain=4.79027, admm_maintain=1.57502, area1=3345.86, area23=1.29351, area4=1.06934, dual_obj=-149929, p_obj=194489, heldout Acc=0.485194, overall time=3923.71
i=80, infea=0.630936, nnz_a=19.1536, nnz_b=25.2467, uni_search=23.8202, uni_subSolve=1.79415, uni_maintain=1.54359, bi_search=44.3433, bi_subSolve=0.992187, bi_maintain=4.24063, admm_maintain=1.27283, area1=3384.56, area23=1.30037, area4=1.07448, dual_obj=-149997, overall time=4006.16
i=81, infea=0.628662, nnz_a=19.2268, nnz_b=25.3392, uni_search=22.1812, uni_subSolve=1.35517, uni_maintain=1.2985, bi_search=41.2597, bi_subSolve=0.968467, bi_maintain=4.11269, admm_maintain=1.08946, area1=3422.03, area23=1.30735, area4=1.07684, dual_obj=-150061, overall time=4082.58
i=82, infea=0.626417, nnz_a=19.3029, nnz_b=25.4339, uni_search=21.929, uni_subSolve=1.29003, uni_maintain=1.22118, bi_search=39.4149, bi_subSolve=0.821199, bi_maintain=3.51726, admm_maintain=1.46833, area1=3458.5, area23=1.3144, area4=1.08025, dual_obj=-150113, overall time=4156.14
i=83, infea=0.624069, nnz_a=19.382, nnz_b=25.5313, uni_search=22.2863, uni_subSolve=1.38178, uni_maintain=1.32818, bi_search=32.2137, bi_subSolve=0.752329, bi_maintain=3.02099, admm_maintain=1.11676, area1=3493.98, area23=1.32148, area4=1.08715, dual_obj=-150157, overall time=4222.18
