using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=10
i=42, infea=0.0427657, nnz_a=12.8807, nnz_b=24.7369, uni_search=26.9747, uni_subSolve=1.67617, uni_maintain=1.34437, bi_search=35.5126, bi_subSolve=1.52216, bi_maintain=6.53583, admm_maintain=1.83732, area1=1074.27, area23=1.27159, area4=1.16345, dual_obj=-21639.6, overall time=2309.82
i=43, infea=0.0428763, nnz_a=12.948, nnz_b=24.9389, uni_search=27.4194, uni_subSolve=1.60146, uni_maintain=1.29097, bi_search=39.2185, bi_subSolve=1.57487, bi_maintain=6.8221, admm_maintain=1.84147, area1=1120.87, area23=1.27693, area4=1.17745, dual_obj=-21994.8, overall time=2395.17
i=44, infea=0.0429886, nnz_a=13.0157, nnz_b=25.1319, uni_search=27.5201, uni_subSolve=1.61514, uni_maintain=1.30475, bi_search=37.9302, bi_subSolve=1.55268, bi_maintain=6.70046, admm_maintain=1.68264, area1=1168.18, area23=1.28116, area4=1.1993, dual_obj=-22347, overall time=2479.06
i=45, infea=0.0430842, nnz_a=13.0732, nnz_b=25.3212, uni_search=27.3053, uni_subSolve=1.63078, uni_maintain=1.33193, bi_search=36.8187, bi_subSolve=1.49955, bi_maintain=6.4277, admm_maintain=1.49984, area1=1216.47, area23=1.28615, area4=1.21222, dual_obj=-22697.6, overall time=2561.01
i=46, infea=0.0431735, nnz_a=13.1335, nnz_b=25.5026, uni_search=26.2863, uni_subSolve=1.54412, uni_maintain=1.41752, bi_search=30.4377, bi_subSolve=1.28759, bi_maintain=5.50111, admm_maintain=1.55726, area1=1265.43, area23=1.29074, area4=1.23871, dual_obj=-23046.2, overall time=2634.24
i=47, infea=0.0432388, nnz_a=13.1903, nnz_b=25.6749, uni_search=26.2243, uni_subSolve=1.55473, uni_maintain=1.42492, bi_search=31.5154, bi_subSolve=1.30509, bi_maintain=5.58986, admm_maintain=1.52677, area1=1315.37, area23=1.29518, area4=1.25203, dual_obj=-23391, overall time=2708.63
i=48, infea=0.0433157, nnz_a=13.2457, nnz_b=25.8419, uni_search=26.2234, uni_subSolve=1.55163, uni_maintain=1.43313, bi_search=32.8188, bi_subSolve=1.3236, bi_maintain=5.66245, admm_maintain=1.50346, area1=1366.38, area23=1.29952, area4=1.27378, dual_obj=-23735, overall time=2784.37
i=49, infea=0.0433745, nnz_a=13.2977, nnz_b=26.0064, uni_search=26.0917, uni_subSolve=1.50924, uni_maintain=1.43792, bi_search=22.0882, bi_subSolve=0.855334, bi_maintain=3.40651, admm_maintain=1.10806, area1=1418.25, area23=1.30372, area4=1.30191, dual_obj=-24076.5, p_obj=140072, heldout Acc=0.504556, overall time=2845.95
i=50, infea=0.0434322, nnz_a=13.3457, nnz_b=26.1607, uni_search=25.329, uni_subSolve=1.46166, uni_maintain=1.31033, bi_search=44.1841, bi_subSolve=1.62086, bi_maintain=7.02274, admm_maintain=1.89976, area1=1470.9, area23=1.30769, area4=1.32207, dual_obj=-24416.4, overall time=2934.23
i=51, infea=0.0434696, nnz_a=13.401, nnz_b=26.3107, uni_search=27.294, uni_subSolve=1.63421, uni_maintain=1.34983, bi_search=44.8909, bi_subSolve=1.62845, bi_maintain=7.05756, admm_maintain=1.90507, area1=1524.21, area23=1.31211, area4=1.35069, dual_obj=-24752.7, overall time=3025.66
i=52, infea=0.0435057, nnz_a=13.4468, nnz_b=26.4572, uni_search=27.2509, uni_subSolve=1.63916, uni_maintain=1.34463, bi_search=46.0929, bi_subSolve=1.64155, bi_maintain=7.13065, admm_maintain=1.89229, area1=1578.57, area23=1.31559, area4=1.37627, dual_obj=-25089.7, overall time=3118.26
i=53, infea=0.0435388, nnz_a=13.4933, nnz_b=26.5905, uni_search=27.2005, uni_subSolve=1.6358, uni_maintain=1.35418, bi_search=47.6409, bi_subSolve=1.67164, bi_maintain=7.2426, admm_maintain=1.92139, area1=1633.91, area23=1.31988, area4=1.41201, dual_obj=-25423.7, overall time=3212.65
i=54, infea=0.0435624, nnz_a=13.5357, nnz_b=26.7245, uni_search=27.4377, uni_subSolve=1.65649, uni_maintain=1.36545, bi_search=52.0279, bi_subSolve=1.7104, bi_maintain=7.49185, admm_maintain=1.94364, area1=1690.13, area23=1.32308, area4=1.4396, dual_obj=-25754.1, overall time=3312.09
