using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=48, infea=0.0399901, nnz_a=14.1003, nnz_b=27.4303, uni_search=26.5182, uni_subSolve=0.621604, uni_maintain=0.644169, bi_search=3443.68, bi_subSolve=0.962881, bi_maintain=2.76574, admm_maintain=0.480713, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23783.6, p_obj=194029, heldout Acc=0.524487, overall time=171736
i=49, infea=0.0400568, nnz_a=14.1525, nnz_b=27.6134, uni_search=26.4755, uni_subSolve=0.622008, uni_maintain=0.646463, bi_search=3441.71, bi_subSolve=0.967689, bi_maintain=2.77905, admm_maintain=0.482765, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24113, p_obj=197110, heldout Acc=0.507403 (1/100), overall time=175214
i=50, infea=0.0401195, nnz_a=14.209, nnz_b=27.7907, uni_search=26.4852, uni_subSolve=0.625433, uni_maintain=0.649854, bi_search=3441.2, bi_subSolve=0.972073, bi_maintain=2.79644, admm_maintain=0.484652, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24440.3, p_obj=169861, heldout Acc=0.502847 (2/100), overall time=178691
i=51, infea=0.0401721, nnz_a=14.2633, nnz_b=27.9597, uni_search=26.4881, uni_subSolve=0.627972, uni_maintain=0.652669, bi_search=3434.88, bi_subSolve=0.977724, bi_maintain=2.82406, admm_maintain=0.48453, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24767.5, p_obj=156990, heldout Acc=0.509112 (3/100), overall time=182162
i=52, infea=0.0402203, nnz_a=14.3141, nnz_b=28.1197, uni_search=26.5568, uni_subSolve=0.629846, uni_maintain=0.658588, bi_search=3438.11, bi_subSolve=0.983191, bi_maintain=2.84338, admm_maintain=0.530498, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25091.8, p_obj=173547, heldout Acc=0.499431 (4/100), overall time=185636
i=53, infea=0.0402511, nnz_a=14.3607, nnz_b=28.2728, uni_search=26.4641, uni_subSolve=0.62998, uni_maintain=0.65601, bi_search=3455.45, bi_subSolve=0.990938, bi_maintain=2.85989, admm_maintain=0.522207, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25414.8, p_obj=178229, heldout Acc=0.511389 (5/100), overall time=189127
i=54, infea=0.0402947, nnz_a=14.404, nnz_b=28.4243, uni_search=26.4561, uni_subSolve=0.631901, uni_maintain=0.658324, bi_search=3457.78, bi_subSolve=0.996412, bi_maintain=2.87887, admm_maintain=0.523951, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25734, p_obj=149687, heldout Acc=0.524487 (6/100), overall time=192621
i=55, infea=0.040318, nnz_a=14.4485, nnz_b=28.5681, uni_search=26.5215, uni_subSolve=0.642806, uni_maintain=0.666891, bi_search=3470.64, bi_subSolve=1.02182, bi_maintain=2.9579, admm_maintain=0.492058, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26051.7, p_obj=158151, heldout Acc=0.520501 (7/100), overall time=196128
i=56, infea=0.0403515, nnz_a=14.4898, nnz_b=28.7074, uni_search=26.5226, uni_subSolve=0.641174, uni_maintain=0.667708, bi_search=3502.01, bi_subSolve=1.06793, bi_maintain=3.11379, admm_maintain=0.576158, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26369.5, p_obj=165653, heldout Acc=0.525626, overall time=199666
i=57, infea=0.0403578, nnz_a=14.531, nnz_b=28.8422, uni_search=26.9051, uni_subSolve=0.654412, uni_maintain=0.682686, bi_search=3446.87, bi_subSolve=1.00336, bi_maintain=2.90296, admm_maintain=0.494614, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26684.5, p_obj=173192, heldout Acc=0.529613, overall time=203150
i=58, infea=0.040379, nnz_a=14.5683, nnz_b=28.9697, uni_search=26.4599, uni_subSolve=0.638467, uni_maintain=0.665942, bi_search=3438.52, bi_subSolve=1.00343, bi_maintain=2.90408, admm_maintain=0.495313, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26999.1, p_obj=161195, heldout Acc=0.509112 (1/100), overall time=206624
i=59, infea=0.0403858, nnz_a=14.6042, nnz_b=29.0918, uni_search=26.5193, uni_subSolve=0.645233, uni_maintain=0.672009, bi_search=3461.93, bi_subSolve=1.02171, bi_maintain=2.95455, admm_maintain=0.496068, area1=-nan, area23=-nan, area4=-nan, dual_obj=-27311.8, p_obj=156556, heldout Acc=0.526196 (2/100), overall time=210122
i=60, infea=0.0403826, nnz_a=14.6381, nnz_b=29.2096, uni_search=26.4996, uni_subSolve=0.645146, uni_maintain=0.672655, bi_search=3561.46, bi_subSolve=1.09143, bi_maintain=3.11675, admm_maintain=0.592229, area1=-nan, area23=-nan, area4=-nan, dual_obj=-27622, p_obj=168110, heldout Acc=0.517654 (3/100), overall time=213721
i=61, infea=0.0403994, nnz_a=14.6678, nnz_b=29.3228, uni_search=27.6842, uni_subSolve=0.677811, uni_maintain=0.725442, bi_search=3497.73, bi_subSolve=1.05329, bi_maintain=3.08056, admm_maintain=0.513087, area1=-nan, area23=-nan, area4=-nan, dual_obj=-27932.1, p_obj=167673, heldout Acc=0.526196 (4/100), overall time=217256
i=62, infea=0.040396, nnz_a=14.7015, nnz_b=29.4325, uni_search=27.2775, uni_subSolve=0.685845, uni_maintain=0.727203, bi_search=3455.28, bi_subSolve=1.05684, bi_maintain=3.08125, admm_maintain=0.53362, area1=-nan, area23=-nan, area4=-nan, dual_obj=-28240.1, p_obj=171749, heldout Acc=0.526196 (5/100), overall time=220749
i=63, infea=0.0403855, nnz_a=14.7284, nnz_b=29.5369, uni_search=27.0696, uni_subSolve=0.67447, uni_maintain=0.71361, bi_search=3480.62, bi_subSolve=1.06864, bi_maintain=3.12323, admm_maintain=0.536457, area1=-nan, area23=-nan, area4=-nan, dual_obj=-28547.5, p_obj=177082, heldout Acc=0.523349 (6/100), overall time=224267
i=64, infea=0.0403775, nnz_a=14.7576, nnz_b=29.6391, uni_search=27.0811, uni_subSolve=0.664201, uni_maintain=0.703449, bi_search=3507.21, bi_subSolve=1.0808, bi_maintain=3.16342, admm_maintain=0.52435, area1=-nan, area23=-nan, area4=-nan, dual_obj=-28851.5, p_obj=154035, heldout Acc=0.531321, overall time=227811
i=65, infea=0.0403732, nnz_a=14.7829, nnz_b=29.7346, uni_search=27.084, uni_subSolve=0.671747, uni_maintain=0.708553, bi_search=3506.64, bi_subSolve=1.08356, bi_maintain=3.16983, admm_maintain=0.509409, area1=-nan, area23=-nan, area4=-nan, dual_obj=-29156.5, p_obj=164261, heldout Acc=0.516515 (1/100), overall time=231355
i=66, infea=0.0403557, nnz_a=14.8094, nnz_b=29.8264, uni_search=26.7227, uni_subSolve=0.657919, uni_maintain=0.694888, bi_search=3510.62, bi_subSolve=1.08261, bi_maintain=3.17243, admm_maintain=0.516343, area1=-nan, area23=-nan, area4=-nan, dual_obj=-29457.3, p_obj=170082, heldout Acc=0.530182 (2/100), overall time=234902
i=67, infea=0.0403308, nnz_a=14.832, nnz_b=29.915, uni_search=26.7113, uni_subSolve=0.65791, uni_maintain=0.691638, bi_search=3491.28, bi_subSolve=1.06602, bi_maintain=3.10023, admm_maintain=0.504963, area1=-nan, area23=-nan, area4=-nan, dual_obj=-29760.6, p_obj=178535, heldout Acc=0.518223 (3/100), overall time=238430
i=68, infea=0.0402815, nnz_a=14.8517, nnz_b=29.9964, uni_search=26.5349, uni_subSolve=0.653452, uni_maintain=0.683738, bi_search=3435.22, bi_subSolve=1.03586, bi_maintain=3.00344, admm_maintain=0.505546, area1=-nan, area23=-nan, area4=-nan, dual_obj=-30063.4, p_obj=157741, heldout Acc=0.534738, overall time=241902
i=69, infea=0.0402519, nnz_a=14.8714, nnz_b=30.0765, uni_search=26.4585, uni_subSolve=0.651811, uni_maintain=0.681503, bi_search=3455.74, bi_subSolve=1.06163, bi_maintain=3.08586, admm_maintain=0.518782, area1=-nan, area23=-nan, area4=-nan, dual_obj=-30362.8, p_obj=169055, heldout Acc=0.529043 (1/100), overall time=245394
i=70, infea=0.0402154, nnz_a=14.8873, nnz_b=30.1474, uni_search=26.7368, uni_subSolve=0.661315, uni_maintain=0.69625, bi_search=3436.25, bi_subSolve=1.0431, bi_maintain=3.02534, admm_maintain=0.506375, area1=-nan, area23=-nan, area4=-nan, dual_obj=-30662.3, p_obj=145368, heldout Acc=0.521071 (2/100), overall time=248866
i=71, infea=0.0401824, nnz_a=14.9083, nnz_b=30.2191, uni_search=26.4565, uni_subSolve=0.653348, uni_maintain=0.683415, bi_search=3433.9, bi_subSolve=1.04251, bi_maintain=3.02418, admm_maintain=0.508689, area1=-nan, area23=-nan, area4=-nan, dual_obj=-30958.6, p_obj=158718, heldout Acc=0.525057 (3/100), overall time=252337
i=72, infea=0.0401518, nnz_a=14.9267, nnz_b=30.2883, uni_search=26.488, uni_subSolve=0.655604, uni_maintain=0.68547, bi_search=3434.1, bi_subSolve=1.04471, bi_maintain=3.03201, admm_maintain=0.509278, area1=-nan, area23=-nan, area4=-nan, dual_obj=-31256.1, p_obj=193836, heldout Acc=0.507403 (4/100), overall time=255807
i=73, infea=0.0401023, nnz_a=14.9415, nnz_b=30.3542, uni_search=26.5135, uni_subSolve=0.657675, uni_maintain=0.688585, bi_search=3434.03, bi_subSolve=1.04713, bi_maintain=3.03892, admm_maintain=0.509178, area1=-nan, area23=-nan, area4=-nan, dual_obj=-31551.9, p_obj=197806, heldout Acc=0.525057 (5/100), overall time=259277
i=74, infea=0.0400598, nnz_a=14.9571, nnz_b=30.4172, uni_search=26.5462, uni_subSolve=0.657997, uni_maintain=0.688913, bi_search=3432.87, bi_subSolve=1.04889, bi_maintain=3.04279, admm_maintain=0.508271, area1=-nan, area23=-nan, area4=-nan, dual_obj=-31844.4, p_obj=170571, heldout Acc=0.539863, overall time=262746
