using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=1
i=69, infea=0.312379, nnz_a=19.3717, nnz_b=28.3254, uni_search=22.1607, uni_subSolve=1.38465, uni_maintain=1.36512, bi_search=33.6224, bi_subSolve=0.962934, bi_maintain=3.70315, admm_maintain=1.29643, area1=2734.08, area23=1.35676, area4=1.18201, dual_obj=-103851, p_obj=196078, heldout Acc=0.518223, overall time=4019.97
i=70, infea=0.312918, nnz_a=19.4294, nnz_b=28.4406, uni_search=22.5147, uni_subSolve=1.45997, uni_maintain=1.45471, bi_search=48.7487, bi_subSolve=1.47174, bi_maintain=5.94239, admm_maintain=1.64845, area1=2791.74, area23=1.36244, area4=1.18656, dual_obj=-104769, overall time=4108
i=71, infea=0.31334, nnz_a=19.4865, nnz_b=28.5456, uni_search=25.5729, uni_subSolve=2.23305, uni_maintain=2.05014, bi_search=83.8247, bi_subSolve=1.96274, bi_maintain=8.51316, admm_maintain=2.55492, area1=2849.27, area23=1.36818, area4=1.19753, dual_obj=-105671, overall time=4240.8
i=72, infea=0.313761, nnz_a=19.5389, nnz_b=28.6439, uni_search=26.149, uni_subSolve=2.41004, uni_maintain=2.26198, bi_search=85.5858, bi_subSolve=1.98739, bi_maintain=8.60576, admm_maintain=2.41398, area1=2906.67, area23=1.37377, area4=1.20623, dual_obj=-106556, overall time=4376.32
i=73, infea=0.314082, nnz_a=19.5887, nnz_b=28.7405, uni_search=26.1787, uni_subSolve=2.38765, uni_maintain=2.2667, bi_search=66.7855, bi_subSolve=1.61182, bi_maintain=6.76322, admm_maintain=1.44453, area1=2964.38, area23=1.37988, area4=1.21302, dual_obj=-107426, overall time=4489.04
i=74, infea=0.314355, nnz_a=19.6381, nnz_b=28.837, uni_search=24.0647, uni_subSolve=1.82778, uni_maintain=1.69662, bi_search=65.0619, bi_subSolve=1.5436, bi_maintain=6.45868, admm_maintain=2.46826, area1=3022.15, area23=1.38528, area4=1.2312, dual_obj=-108265, overall time=4597.55
i=75, infea=0.314464, nnz_a=19.6828, nnz_b=28.9289, uni_search=25.2329, uni_subSolve=2.19849, uni_maintain=2.01583, bi_search=81.6302, bi_subSolve=1.87014, bi_maintain=8.02316, admm_maintain=2.2678, area1=3079.67, area23=1.39081, area4=1.2423, dual_obj=-109093, overall time=4726.55
i=76, infea=0.314556, nnz_a=19.7295, nnz_b=29.0168, uni_search=25.358, uni_subSolve=2.22631, uni_maintain=2.04035, bi_search=76.1151, bi_subSolve=1.77563, bi_maintain=7.48457, admm_maintain=1.80403, area1=3137.31, area23=1.39663, area4=1.25043, dual_obj=-109890, overall time=4848.89
i=77, infea=0.314615, nnz_a=19.7706, nnz_b=29.0991, uni_search=23.6786, uni_subSolve=1.71798, uni_maintain=1.7158, bi_search=48.7873, bi_subSolve=1.2577, bi_maintain=4.96501, admm_maintain=1.64951, area1=3194.65, area23=1.40215, area4=1.25679, dual_obj=-110680, overall time=4937.35
i=78, infea=0.314622, nnz_a=19.812, nnz_b=29.1789, uni_search=23.8527, uni_subSolve=1.71198, uni_maintain=1.56169, bi_search=45.944, bi_subSolve=1.26642, bi_maintain=4.91364, admm_maintain=1.77248, area1=3252.19, area23=1.40771, area4=1.26219, dual_obj=-111433, overall time=5023.01
i=79, infea=0.31455, nnz_a=19.8515, nnz_b=29.2527, uni_search=23.0605, uni_subSolve=1.63586, uni_maintain=1.471, bi_search=48.3902, bi_subSolve=1.27623, bi_maintain=4.95336, admm_maintain=1.53044, area1=3309.56, area23=1.41317, area4=1.27471, dual_obj=-112169, p_obj=198157, heldout Acc=0.514237 (1/100), overall time=5109.77
i=80, infea=0.314461, nnz_a=19.886, nnz_b=29.3241, uni_search=24.963, uni_subSolve=2.14232, uni_maintain=1.98008, bi_search=45.1443, bi_subSolve=1.04816, bi_maintain=4.07456, admm_maintain=2.04571, area1=3366.72, area23=1.41863, area4=1.27545, dual_obj=-112882, overall time=5195.62
i=81, infea=0.314254, nnz_a=19.9233, nnz_b=29.3882, uni_search=20.7002, uni_subSolve=1.25569, uni_maintain=1.11957, bi_search=30.6329, bi_subSolve=0.875434, bi_maintain=3.1165, admm_maintain=0.802842, area1=3423.79, area23=1.42384, area4=1.29595, dual_obj=-113572, overall time=5257.71
i=82, infea=0.313927, nnz_a=19.9562, nnz_b=29.452, uni_search=21.3535, uni_subSolve=1.3538, uni_maintain=1.22589, bi_search=39.9323, bi_subSolve=1.00274, bi_maintain=3.76382, admm_maintain=1.74461, area1=3480.87, area23=1.42917, area4=1.30546, dual_obj=-114235, overall time=5332.16
i=83, infea=0.313656, nnz_a=19.9879, nnz_b=29.5118, uni_search=22.77, uni_subSolve=1.59628, uni_maintain=1.38183, bi_search=43.5956, bi_subSolve=1.16593, bi_maintain=4.38527, admm_maintain=1.29112, area1=3538.03, area23=1.43487, area4=1.3242, dual_obj=-114875, overall time=5412.91
