using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=49, a_nnz=13.03, ever_a_nnz=13.3517, b_nnz=106.659, uni_search=1.52422, uni_subSolve=0.161581, uni_maintain_time=0.037301, bi_search=6.65119, bi_subSolve=0.238125, bi_maintain_time=0.115788, admm_maintain=0.131717, area4=-nan, infea=53.9145, d_obj=-2332.57, p_obj=2817.88......., heldout Acc=0.986215 (1/50), overall time=430.187
i=50, a_nnz=13.0696, ever_a_nnz=13.3958, b_nnz=107.632, uni_search=1.6927, uni_subSolve=0.199381, uni_maintain_time=0.0360364, bi_search=6.73374, bi_subSolve=0.353558, bi_maintain_time=0.176756, admm_maintain=0.183262, area4=-nan, infea=58.2258, d_obj=-2333.08, overall time=439.71
i=51, a_nnz=13.1123, ever_a_nnz=13.4433, b_nnz=108.694, uni_search=1.52816, uni_subSolve=0.166433, uni_maintain_time=0.0331246, bi_search=6.67995, bi_subSolve=0.275819, bi_maintain_time=0.131153, admm_maintain=0.146633, area4=-nan, infea=60.0422, d_obj=-2337.91, overall time=448.803
i=52, a_nnz=13.1532, ever_a_nnz=13.4851, b_nnz=109.636, uni_search=1.54817, uni_subSolve=0.172342, uni_maintain_time=0.0366495, bi_search=6.67141, bi_subSolve=0.279322, bi_maintain_time=0.133009, admm_maintain=0.117969, area4=-nan, infea=56.1224, d_obj=-2360.85, overall time=457.893
i=53, a_nnz=13.1938, ever_a_nnz=13.5255, b_nnz=110.569, uni_search=1.61165, uni_subSolve=0.186186, uni_maintain_time=0.0373124, bi_search=6.70366, bi_subSolve=0.317398, bi_maintain_time=0.155095, admm_maintain=0.20527, area4=-nan, infea=54.1587, d_obj=-2381.77, overall time=467.278
i=54, a_nnz=13.2238, ever_a_nnz=13.5662, b_nnz=111.523, uni_search=1.87599, uni_subSolve=0.244585, uni_maintain_time=0.0410856, bi_search=6.69981, bi_subSolve=0.292204, bi_maintain_time=0.141273, admm_maintain=0.111164, area4=-nan, infea=52.1654, d_obj=-2400.49, overall time=476.819
i=55, a_nnz=13.2581, ever_a_nnz=13.6002, b_nnz=112.311, uni_search=1.46024, uni_subSolve=0.159089, uni_maintain_time=0.0339175, bi_search=6.5832, bi_subSolve=0.203487, bi_maintain_time=0.08491, admm_maintain=0.115185, area4=-nan, infea=45.938, d_obj=-2408.45, overall time=485.571
i=56, a_nnz=13.2948, ever_a_nnz=13.6385, b_nnz=113.22, uni_search=1.398, uni_subSolve=0.144373, uni_maintain_time=0.0334311, bi_search=6.57025, bi_subSolve=0.166701, bi_maintain_time=0.0797664, admm_maintain=0.106035, area4=-nan, infea=52.8271, d_obj=-2407.34, overall time=494.208
i=57, a_nnz=13.331, ever_a_nnz=13.6747, b_nnz=114.077, uni_search=1.67081, uni_subSolve=0.17589, uni_maintain_time=0.029684, bi_search=6.675, bi_subSolve=0.286322, bi_maintain_time=0.142009, admm_maintain=0.143928, area4=-nan, infea=49.6331, d_obj=-2441.44, overall time=503.472
i=58, a_nnz=13.3617, ever_a_nnz=13.7099, b_nnz=114.937, uni_search=1.3119, uni_subSolve=0.118834, uni_maintain_time=0.03191, bi_search=6.5401, bi_subSolve=0.103898, bi_maintain_time=0.0478484, admm_maintain=0.08617, area4=-nan, infea=44.2507, d_obj=-2451.31, overall time=511.793
i=59, a_nnz=13.3924, ever_a_nnz=13.7419, b_nnz=115.753, uni_search=1.1969, uni_subSolve=0.093146, uni_maintain_time=0.0261843, bi_search=6.53726, bi_subSolve=0.0999927, bi_maintain_time=0.0446579, admm_maintain=0.0917242, area4=-nan, infea=47.4074, d_obj=-2443.42, p_obj=2857.55......., heldout Acc=0.986129 (2/50), overall time=519.975
i=60, a_nnz=13.426, ever_a_nnz=13.7763, b_nnz=116.6, uni_search=1.78194, uni_subSolve=0.218781, uni_maintain_time=0.0349989, bi_search=6.64294, bi_subSolve=0.29432, bi_maintain_time=0.174501, admm_maintain=0.16925, area4=-nan, infea=46.0214, d_obj=-2444.87, overall time=529.461
