using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=73, a_nnz=13.1502, ever_a_nnz=13.3567, b_nnz=111.974, uni_search=1.19126, uni_subSolve=0.102645, uni_maintain_time=0.0261904, bi_search=6.42347, bi_subSolve=0.0990733, bi_maintain_time=0.0433796, admm_maintain=0.0817848, area4=-nan, infea=130.722, d_obj=-1665.67, overall time=589.848
i=74, a_nnz=13.1741, ever_a_nnz=13.3809, b_nnz=112.665, uni_search=1.162, uni_subSolve=0.0950755, uni_maintain_time=0.0255856, bi_search=6.42442, bi_subSolve=0.0970089, bi_maintain_time=0.0422173, admm_maintain=0.0841417, area4=-nan, infea=146.374, d_obj=-1661.22, overall time=597.858
i=75, a_nnz=13.1995, ever_a_nnz=13.4059, b_nnz=113.386, uni_search=1.22224, uni_subSolve=0.108705, uni_maintain_time=0.0268065, bi_search=6.42768, bi_subSolve=0.10308, bi_maintain_time=0.0464157, admm_maintain=0.0817995, area4=-nan, infea=148.303, d_obj=-1666.13, overall time=605.956
i=76, a_nnz=13.2218, ever_a_nnz=13.428, b_nnz=114.032, uni_search=1.16723, uni_subSolve=0.096726, uni_maintain_time=0.0256782, bi_search=6.42351, bi_subSolve=0.0988749, bi_maintain_time=0.0435853, admm_maintain=0.0837538, area4=-nan, infea=137.462, d_obj=-1683.92, overall time=613.975
i=77, a_nnz=13.2435, ever_a_nnz=13.4495, b_nnz=114.686, uni_search=1.15541, uni_subSolve=0.0930234, uni_maintain_time=0.0249622, bi_search=6.4267, bi_subSolve=0.108147, bi_maintain_time=0.0486661, admm_maintain=0.0820543, area4=-nan, infea=130.886, d_obj=-1697.24, overall time=621.996
i=78, a_nnz=13.2657, ever_a_nnz=13.4714, b_nnz=115.338, uni_search=1.16835, uni_subSolve=0.0968445, uni_maintain_time=0.0259826, bi_search=6.43678, bi_subSolve=0.102525, bi_maintain_time=0.0470425, admm_maintain=0.0930925, area4=-nan, infea=146.694, d_obj=-1684.29, overall time=630.058
i=79, a_nnz=13.2884, ever_a_nnz=13.4936, b_nnz=116.016, uni_search=1.17731, uni_subSolve=0.0987705, uni_maintain_time=0.0265336, bi_search=6.43995, bi_subSolve=0.116662, bi_maintain_time=0.0541028, admm_maintain=0.0838639, area4=-nan, infea=127.281, d_obj=-1712.3, p_obj=2139.04......., heldout Acc=0.986474 (6/50), overall time=638.135
i=80, a_nnz=13.3105, ever_a_nnz=13.5151, b_nnz=116.679, uni_search=1.57867, uni_subSolve=0.160855, uni_maintain_time=0.0282552, bi_search=6.46239, bi_subSolve=0.144729, bi_maintain_time=0.0805494, admm_maintain=0.0791771, area4=-nan, infea=145.031, d_obj=-1706.08, overall time=646.759
i=81, a_nnz=13.3332, ever_a_nnz=13.5385, b_nnz=117.381, uni_search=1.13635, uni_subSolve=0.0858879, uni_maintain_time=0.0232455, bi_search=6.41565, bi_subSolve=0.094618, bi_maintain_time=0.0428474, admm_maintain=0.0801651, area4=-nan, infea=150.357, d_obj=-1707.3, overall time=654.717
i=82, a_nnz=13.3525, ever_a_nnz=13.559, b_nnz=118.049, uni_search=1.14848, uni_subSolve=0.0896105, uni_maintain_time=0.024039, bi_search=6.4057, bi_subSolve=0.0879578, bi_maintain_time=0.0393986, admm_maintain=0.0865383, area4=-nan, infea=129.164, d_obj=-1734.25, overall time=662.68
