using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=38, a_nnz=11.1128, ever_a_nnz=18.9392, b_nnz=189.555, uni_search=0.605158, uni_subSolve=0.118639, uni_maintain_time=0.0190449, bi_search=0.0724933, bi_subSolve=0.15097, bi_maintain_time=0.0547499, admm_maintain=0.13562, area4=1.2003, infea=68.3656, d_obj=430.9, overall time=34.9444
i=39, a_nnz=11.1117, ever_a_nnz=19.0414, b_nnz=191.901, uni_search=0.61106, uni_subSolve=0.122062, uni_maintain_time=0.0188608, bi_search=0.0734166, bi_subSolve=0.152388, bi_maintain_time=0.0520724, admm_maintain=0.136681, area4=1.19496, infea=66.7119, d_obj=418.246, p_obj=3470.75......., heldout Acc=0.984147, overall time=36.2282
i=40, a_nnz=11.1172, ever_a_nnz=19.1454, b_nnz=194.278, uni_search=0.63613, uni_subSolve=0.133565, uni_maintain_time=0.0207055, bi_search=0.0777956, bi_subSolve=0.157344, bi_maintain_time=0.0543179, admm_maintain=0.140756, area4=1.18561, infea=65.2439, d_obj=401.273, overall time=37.5699
i=41, a_nnz=11.1163, ever_a_nnz=19.2444, b_nnz=196.512, uni_search=0.617492, uni_subSolve=0.124126, uni_maintain_time=0.0189397, bi_search=0.0767353, bi_subSolve=0.156933, bi_maintain_time=0.0536055, admm_maintain=0.171106, area4=1.18928, infea=66.4844, d_obj=372.159, overall time=38.9279
i=42, a_nnz=11.1203, ever_a_nnz=19.3328, b_nnz=198.574, uni_search=0.634482, uni_subSolve=0.13197, uni_maintain_time=0.0195692, bi_search=0.0780632, bi_subSolve=0.159051, bi_maintain_time=0.0548258, admm_maintain=0.144513, area4=1.19863, infea=67.0519, d_obj=354.73, overall time=40.2746
i=43, a_nnz=11.1177, ever_a_nnz=19.4183, b_nnz=200.548, uni_search=0.623427, uni_subSolve=0.126153, uni_maintain_time=0.0187147, bi_search=0.0887736, bi_subSolve=0.168354, bi_maintain_time=0.0577054, admm_maintain=0.145649, area4=1.19663, infea=67.2976, d_obj=339.328, overall time=41.6291
i=44, a_nnz=11.1155, ever_a_nnz=19.5014, b_nnz=202.526, uni_search=0.622091, uni_subSolve=0.125805, uni_maintain_time=0.0183162, bi_search=0.0775867, bi_subSolve=0.15968, bi_maintain_time=0.0540064, admm_maintain=0.143938, area4=1.17793, infea=63.6536, d_obj=305.215, overall time=42.9542
i=45, a_nnz=11.1027, ever_a_nnz=19.5825, b_nnz=204.486, uni_search=0.626177, uni_subSolve=0.127701, uni_maintain_time=0.0184256, bi_search=0.0806622, bi_subSolve=0.162695, bi_maintain_time=0.0548771, admm_maintain=0.148296, area4=1.20464, infea=63.8608, d_obj=286.592, overall time=44.301
i=46, a_nnz=11.1135, ever_a_nnz=19.6573, b_nnz=206.336, uni_search=0.626302, uni_subSolve=0.127125, uni_maintain_time=0.0184238, bi_search=0.0793864, bi_subSolve=0.162298, bi_maintain_time=0.0550315, admm_maintain=0.146611, area4=1.20898, infea=64.6009, d_obj=273.119, overall time=45.6424
i=47, a_nnz=11.1203, ever_a_nnz=19.7283, b_nnz=208.14, uni_search=0.629602, uni_subSolve=0.129093, uni_maintain_time=0.0185747, bi_search=0.0793845, bi_subSolve=0.163214, bi_maintain_time=0.0556952, admm_maintain=0.149652, area4=1.18561, infea=63.5131, d_obj=246.716, overall time=46.9974
i=48, a_nnz=11.1203, ever_a_nnz=19.7964, b_nnz=209.905, uni_search=0.631594, uni_subSolve=0.129977, uni_maintain_time=0.0185022, bi_search=0.0810013, bi_subSolve=0.16536, bi_maintain_time=0.0561634, admm_maintain=0.149509, area4=1.19129, infea=64.2042, d_obj=235.194, overall time=48.3575
i=49, a_nnz=11.1153, ever_a_nnz=19.8638, b_nnz=211.641, uni_search=0.636061, uni_subSolve=0.131409, uni_maintain_time=0.0182103, bi_search=0.0839963, bi_subSolve=0.168391, bi_maintain_time=0.0566391, admm_maintain=0.154037, area4=1.1796, infea=61.7094, d_obj=212.518, p_obj=2829.72......., heldout Acc=0.983803 (1/50), overall time=49.7385
i=50, a_nnz=11.1187, ever_a_nnz=19.9331, b_nnz=213.479, uni_search=0.649958, uni_subSolve=0.139139, uni_maintain_time=0.0189148, bi_search=0.0921503, bi_subSolve=0.175473, bi_maintain_time=0.0591238, admm_maintain=0.165011, area4=1.22834, infea=61.6066, d_obj=197.095, overall time=51.2135
i=51, a_nnz=11.1203, ever_a_nnz=19.9963, b_nnz=215.132, uni_search=0.672038, uni_subSolve=0.15136, uni_maintain_time=0.0201326, bi_search=0.0969794, bi_subSolve=0.181975, bi_maintain_time=0.0602212, admm_maintain=0.166716, area4=1.222, infea=60.2557, d_obj=177.165, overall time=52.707
i=52, a_nnz=11.1237, ever_a_nnz=20.0556, b_nnz=216.701, uni_search=0.65283, uni_subSolve=0.141076, uni_maintain_time=0.0184987, bi_search=0.11583, bi_subSolve=0.196239, bi_maintain_time=0.0670042, admm_maintain=0.176843, area4=1.21799, infea=60.6484, d_obj=161.504, overall time=54.2187
i=53, a_nnz=11.128, ever_a_nnz=20.1167, b_nnz=218.298, uni_search=0.652335, uni_subSolve=0.138748, uni_maintain_time=0.0188179, bi_search=0.0875015, bi_subSolve=0.173879, bi_maintain_time=0.0592225, admm_maintain=0.159184, area4=1.22267, infea=60.6948, d_obj=140.932, overall time=55.6439
i=54, a_nnz=11.1344, ever_a_nnz=20.1791, b_nnz=219.951, uni_search=0.663562, uni_subSolve=0.1448, uni_maintain_time=0.019396, bi_search=0.0948727, bi_subSolve=0.181418, bi_maintain_time=0.0626333, admm_maintain=0.168178, area4=1.24403, infea=62.7019, d_obj=136.517, overall time=57.1153
i=55, a_nnz=11.1255, ever_a_nnz=20.2364, b_nnz=221.453, uni_search=0.65078, uni_subSolve=0.13738, uni_maintain_time=0.0182821, bi_search=0.0882112, bi_subSolve=0.176095, bi_maintain_time=0.0599718, admm_maintain=0.16124, area4=1.24403, infea=59.9486, d_obj=110.597, overall time=58.5648
i=56, a_nnz=11.128, ever_a_nnz=20.2888, b_nnz=222.872, uni_search=0.711807, uni_subSolve=0.160288, uni_maintain_time=0.0201843, bi_search=0.123861, bi_subSolve=0.23253, bi_maintain_time=0.0753881, admm_maintain=0.195059, area4=1.23235, infea=59.7947, d_obj=90.4778, overall time=60.2533
