using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=51, a_nnz=11.1297, ever_a_nnz=18.6944, b_nnz=186.395, uni_search=1.79717, uni_subSolve=0.166873, uni_maintain_time=0.0304993, bi_search=6.53184, bi_subSolve=0.220298, bi_maintain_time=0.0822452, admm_maintain=0.234016, area4=-nan, infea=56.4269, d_obj=-87.8109, overall time=456.982
i=52, a_nnz=11.1297, ever_a_nnz=18.7445, b_nnz=187.617, uni_search=1.80264, uni_subSolve=0.16772, uni_maintain_time=0.030341, bi_search=6.5339, bi_subSolve=0.221246, bi_maintain_time=0.0824591, admm_maintain=0.235626, area4=-nan, infea=56.3095, d_obj=-101.612, overall time=466.266
i=53, a_nnz=11.1347, ever_a_nnz=18.793, b_nnz=188.822, uni_search=1.80382, uni_subSolve=0.16805, uni_maintain_time=0.0302422, bi_search=6.5356, bi_subSolve=0.223024, bi_maintain_time=0.0833679, admm_maintain=0.23681, area4=-nan, infea=56.4641, d_obj=-123.715, overall time=475.557
i=54, a_nnz=11.1277, ever_a_nnz=18.8383, b_nnz=189.908, uni_search=1.80677, uni_subSolve=0.168757, uni_maintain_time=0.0299289, bi_search=6.52918, bi_subSolve=0.224013, bi_maintain_time=0.0840385, admm_maintain=0.238023, area4=-nan, infea=58.6255, d_obj=-130.267, overall time=485.02
i=55, a_nnz=11.1235, ever_a_nnz=18.8847, b_nnz=191.003, uni_search=1.81378, uni_subSolve=0.169463, uni_maintain_time=0.0300695, bi_search=6.54521, bi_subSolve=0.224473, bi_maintain_time=0.0837653, admm_maintain=0.239916, area4=-nan, infea=54.1323, d_obj=-162.461, overall time=494.341
i=56, a_nnz=11.1294, ever_a_nnz=18.9291, b_nnz=192.044, uni_search=1.81528, uni_subSolve=0.170709, uni_maintain_time=0.0303795, bi_search=6.54866, bi_subSolve=0.226528, bi_maintain_time=0.0840648, admm_maintain=0.240833, area4=-nan, infea=52.6676, d_obj=-194.936, overall time=503.67
i=57, a_nnz=11.1456, ever_a_nnz=18.9735, b_nnz=193.128, uni_search=1.82127, uni_subSolve=0.171257, uni_maintain_time=0.0301788, bi_search=6.55053, bi_subSolve=0.22824, bi_maintain_time=0.085168, admm_maintain=0.241924, area4=-nan, infea=52.2905, d_obj=-207.089, overall time=513.013
i=58, a_nnz=11.1409, ever_a_nnz=19.0117, b_nnz=194.081, uni_search=1.82741, uni_subSolve=0.17213, uni_maintain_time=0.0302083, bi_search=6.54909, bi_subSolve=0.228669, bi_maintain_time=0.0859128, admm_maintain=0.243608, area4=-nan, infea=53.6277, d_obj=-228.161, overall time=522.367
i=59, a_nnz=11.1364, ever_a_nnz=19.0539, b_nnz=195.128, uni_search=1.82991, uni_subSolve=0.17286, uni_maintain_time=0.0301632, bi_search=6.54889, bi_subSolve=0.229001, bi_maintain_time=0.0852617, admm_maintain=0.245135, area4=-nan, infea=53.4557, d_obj=-242.698, p_obj=1728.52......., heldout Acc=0.985095, overall time=531.734
i=60, a_nnz=11.1342, ever_a_nnz=19.0966, b_nnz=196.194, uni_search=1.61856, uni_subSolve=0.119494, uni_maintain_time=0.0202831, bi_search=6.44707, bi_subSolve=0.182559, bi_maintain_time=0.061192, admm_maintain=0.164603, area4=-nan, infea=52.3474, d_obj=-267.946, overall time=540.493
i=61, a_nnz=11.1245, ever_a_nnz=19.1344, b_nnz=197.129, uni_search=1.62335, uni_subSolve=0.119361, uni_maintain_time=0.0201931, bi_search=6.45439, bi_subSolve=0.182917, bi_maintain_time=0.0646987, admm_maintain=0.168754, area4=-nan, infea=51.8122, d_obj=-281.925, overall time=549.272
i=62, a_nnz=11.129, ever_a_nnz=19.1729, b_nnz=198.082, uni_search=1.62086, uni_subSolve=0.118751, uni_maintain_time=0.0201401, bi_search=6.45687, bi_subSolve=0.183853, bi_maintain_time=0.0604816, admm_maintain=0.168616, area4=-nan, infea=53.3936, d_obj=-272.188, overall time=558.05
i=63, a_nnz=11.1225, ever_a_nnz=19.2076, b_nnz=198.945, uni_search=1.62502, uni_subSolve=0.119994, uni_maintain_time=0.0199575, bi_search=6.46028, bi_subSolve=0.184289, bi_maintain_time=0.0610025, admm_maintain=0.169036, area4=-nan, infea=54.0033, d_obj=-277.93, overall time=566.839
i=64, a_nnz=11.1309, ever_a_nnz=19.2442, b_nnz=199.861, uni_search=1.6298, uni_subSolve=0.12062, uni_maintain_time=0.0202868, bi_search=6.44676, bi_subSolve=0.184246, bi_maintain_time=0.0614259, admm_maintain=0.169621, area4=-nan, infea=54.1326, d_obj=-298.603, overall time=575.622
i=65, a_nnz=11.129, ever_a_nnz=19.2786, b_nnz=200.703, uni_search=1.63077, uni_subSolve=0.121237, uni_maintain_time=0.0200564, bi_search=6.44069, bi_subSolve=0.185079, bi_maintain_time=0.0613038, admm_maintain=0.170602, area4=-nan, infea=54.1046, d_obj=-297.329, overall time=584.403
i=66, a_nnz=11.1295, ever_a_nnz=19.3118, b_nnz=201.578, uni_search=1.63938, uni_subSolve=0.12155, uni_maintain_time=0.0198428, bi_search=6.46349, bi_subSolve=0.185552, bi_maintain_time=0.0607436, admm_maintain=0.171387, area4=-nan, infea=49.6125, d_obj=-311.597, overall time=593.216
i=67, a_nnz=11.1178, ever_a_nnz=19.345, b_nnz=202.48, uni_search=1.63782, uni_subSolve=0.121835, uni_maintain_time=0.0200395, bi_search=6.44923, bi_subSolve=0.186021, bi_maintain_time=0.0613986, admm_maintain=0.172513, area4=-nan, infea=51.4306, d_obj=-294.202, overall time=602.017
i=68, a_nnz=11.114, ever_a_nnz=19.3799, b_nnz=203.406, uni_search=1.64443, uni_subSolve=0.122473, uni_maintain_time=0.0202547, bi_search=6.45711, bi_subSolve=0.18734, bi_maintain_time=0.065322, admm_maintain=0.171617, area4=-nan, infea=51.8496, d_obj=-310.175, overall time=610.836
i=69, a_nnz=11.108, ever_a_nnz=19.419, b_nnz=204.403, uni_search=1.64467, uni_subSolve=0.122412, uni_maintain_time=0.0201695, bi_search=6.45072, bi_subSolve=0.188639, bi_maintain_time=0.0618396, admm_maintain=0.174278, area4=-nan, infea=50.7632, d_obj=-314.778, p_obj=1852.51......., heldout Acc=0.983544 (1/50), overall time=619.652
i=70, a_nnz=11.1067, ever_a_nnz=19.4518, b_nnz=205.301, uni_search=1.64642, uni_subSolve=0.123488, uni_maintain_time=0.0201733, bi_search=6.4522, bi_subSolve=0.188443, bi_maintain_time=0.0617198, admm_maintain=0.175536, area4=-nan, infea=49.174, d_obj=-317.275, overall time=628.474
i=71, a_nnz=11.0965, ever_a_nnz=19.4804, b_nnz=206.111, uni_search=1.65065, uni_subSolve=0.123492, uni_maintain_time=0.0201037, bi_search=6.44863, bi_subSolve=0.189538, bi_maintain_time=0.0665733, admm_maintain=0.176535, area4=-nan, infea=49.8473, d_obj=-312.464, overall time=637.399
i=72, a_nnz=11.086, ever_a_nnz=19.5133, b_nnz=206.987, uni_search=1.65286, uni_subSolve=0.124262, uni_maintain_time=0.0201398, bi_search=6.50658, bi_subSolve=0.225942, bi_maintain_time=0.0779206, admm_maintain=0.233268, area4=-nan, infea=48.4838, d_obj=-330.308, overall time=646.446
i=73, a_nnz=11.0816, ever_a_nnz=19.5435, b_nnz=207.759, uni_search=1.79203, uni_subSolve=0.15999, uni_maintain_time=0.0257411, bi_search=6.51067, bi_subSolve=0.229516, bi_maintain_time=0.0792901, admm_maintain=0.232124, area4=-nan, infea=47.0598, d_obj=-354.889, overall time=655.675
i=74, a_nnz=11.0751, ever_a_nnz=19.5739, b_nnz=208.529, uni_search=1.79268, uni_subSolve=0.159541, uni_maintain_time=0.0260336, bi_search=6.5045, bi_subSolve=0.228577, bi_maintain_time=0.0793641, admm_maintain=0.233776, area4=-nan, infea=47.1341, d_obj=-351.572, overall time=664.907
i=75, a_nnz=11.0686, ever_a_nnz=19.6011, b_nnz=209.239, uni_search=1.79503, uni_subSolve=0.160368, uni_maintain_time=0.0255202, bi_search=6.51603, bi_subSolve=0.228698, bi_maintain_time=0.0790295, admm_maintain=0.233096, area4=-nan, infea=47.4999, d_obj=-362.248, overall time=674.151
i=76, a_nnz=11.0703, ever_a_nnz=19.6279, b_nnz=209.989, uni_search=1.79782, uni_subSolve=0.160108, uni_maintain_time=0.0257888, bi_search=6.50698, bi_subSolve=0.228905, bi_maintain_time=0.0788239, admm_maintain=0.226061, area4=-nan, infea=45.8424, d_obj=-381.85, overall time=683.669
i=77, a_nnz=11.0764, ever_a_nnz=19.6577, b_nnz=210.823, uni_search=3.3875, uni_subSolve=0.37914, uni_maintain_time=0.0417309, bi_search=6.97511, bi_subSolve=0.8308, bi_maintain_time=0.287908, admm_maintain=0.550511, area4=-nan, infea=45.8657, d_obj=-377.162, overall time=696.634
i=78, a_nnz=11.0793, ever_a_nnz=19.6897, b_nnz=211.689, uni_search=3.29484, uni_subSolve=0.385988, uni_maintain_time=0.0425077, bi_search=6.96194, bi_subSolve=0.833507, bi_maintain_time=0.277266, admm_maintain=0.553453, area4=-nan, infea=46.3956, d_obj=-387.766, overall time=709.195
i=79, a_nnz=11.0631, ever_a_nnz=19.7201, b_nnz=212.504, uni_search=1.7986, uni_subSolve=0.161314, uni_maintain_time=0.0260862, bi_search=6.51452, bi_subSolve=0.231125, bi_maintain_time=0.0787522, admm_maintain=0.240312, area4=-nan, infea=48.1061, d_obj=-371.041, p_obj=2095.45......., heldout Acc=0.984751 (2/50), overall time=718.456
i=80, a_nnz=11.0542, ever_a_nnz=19.7471, b_nnz=213.274, uni_search=2.01017, uni_subSolve=0.224653, uni_maintain_time=0.0420986, bi_search=6.57666, bi_subSolve=0.265386, bi_maintain_time=0.113923, admm_maintain=0.298109, area4=-nan, infea=48.5048, d_obj=-389.383, overall time=728.244
i=81, a_nnz=11.0464, ever_a_nnz=19.773, b_nnz=214.055, uni_search=2.01517, uni_subSolve=0.225732, uni_maintain_time=0.0423663, bi_search=6.58425, bi_subSolve=0.268579, bi_maintain_time=0.117192, admm_maintain=0.299138, area4=-nan, infea=47.4851, d_obj=-374.948, overall time=738.008
i=82, a_nnz=11.0402, ever_a_nnz=19.7987, b_nnz=214.83, uni_search=1.81565, uni_subSolve=0.163847, uni_maintain_time=0.0261058, bi_search=6.51598, bi_subSolve=0.232048, bi_maintain_time=0.0844594, admm_maintain=0.242255, area4=-nan, infea=49.6184, d_obj=-345.996, overall time=747.301
i=83, a_nnz=11.0424, ever_a_nnz=19.8247, b_nnz=215.572, uni_search=1.81477, uni_subSolve=0.164152, uni_maintain_time=0.0259885, bi_search=6.52218, bi_subSolve=0.236177, bi_maintain_time=0.0797018, admm_maintain=0.242514, area4=-nan, infea=49.2365, d_obj=-333.579, overall time=756.6
