using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=36, infea=0.0368672, nnz_a=7.87957, nnz_b=12.4552, uni_search=0.300155, uni_subSolve=0.0624388, uni_maintain=0.0670181, bi_search=1.07903, bi_subSolve=0.212173, bi_maintain=0.141398, admm_maintain=0.171334, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12578.2, p_obj=35379, heldout Acc=0.928043 (2/1000), overall time=98.4715
i=37, infea=0.0371624, nnz_a=7.95519, nnz_b=12.5362, uni_search=0.300107, uni_subSolve=0.0625491, uni_maintain=0.0678373, bi_search=1.07837, bi_subSolve=0.2133, bi_maintain=0.14204, admm_maintain=0.173629, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12782.4, p_obj=36066.2, heldout Acc=0.929613, overall time=101.465
i=38, infea=0.0374591, nnz_a=8.02966, nnz_b=12.6141, uni_search=0.305743, uni_subSolve=0.0632289, uni_maintain=0.0691909, bi_search=1.08058, bi_subSolve=0.21789, bi_maintain=0.144163, admm_maintain=0.172081, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12983.3, p_obj=33859.7, heldout Acc=0.929306 (1/1000), overall time=104.427
i=39, infea=0.0377417, nnz_a=8.10197, nnz_b=12.6899, uni_search=0.297537, uni_subSolve=0.0625624, uni_maintain=0.0694085, bi_search=1.0764, bi_subSolve=0.21752, bi_maintain=0.142243, admm_maintain=0.172711, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13181.2, p_obj=30909.5, heldout Acc=0.927799 (2/1000), overall time=107.363
i=40, infea=0.0380204, nnz_a=8.1721, nnz_b=12.7628, uni_search=0.304983, uni_subSolve=0.063301, uni_maintain=0.0708662, bi_search=1.08213, bi_subSolve=0.223555, bi_maintain=0.146515, admm_maintain=0.178507, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13376.5, p_obj=33392.2, heldout Acc=0.929468 (3/1000), overall time=110.315
i=41, infea=0.0382911, nnz_a=8.23842, nnz_b=12.833, uni_search=0.246508, uni_subSolve=0.0585929, uni_maintain=0.0663757, bi_search=1.0419, bi_subSolve=0.198963, bi_maintain=0.114283, admm_maintain=0.146216, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13568.8, p_obj=31626.8, heldout Acc=0.929279 (4/1000), overall time=113.01
i=42, infea=0.0385546, nnz_a=8.30187, nnz_b=12.9008, uni_search=0.246218, uni_subSolve=0.0586243, uni_maintain=0.0668747, bi_search=1.04246, bi_subSolve=0.200422, bi_maintain=0.114388, admm_maintain=0.149013, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13757.6, p_obj=31364.4, heldout Acc=0.927944 (5/1000), overall time=115.718
i=43, infea=0.0388042, nnz_a=8.36221, nnz_b=12.9658, uni_search=0.248878, uni_subSolve=0.0590674, uni_maintain=0.0678222, bi_search=1.03539, bi_subSolve=0.198166, bi_maintain=0.115726, admm_maintain=0.136928, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13943.3, p_obj=34068.2, heldout Acc=0.92964, overall time=118.397
i=44, infea=0.0390516, nnz_a=8.42309, nnz_b=13.0308, uni_search=0.22406, uni_subSolve=0.0578254, uni_maintain=0.0668799, bi_search=1.02849, bi_subSolve=0.195149, bi_maintain=0.115314, admm_maintain=0.136325, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14126.7, p_obj=31642.9, heldout Acc=0.930271, overall time=121.079
i=45, infea=0.0392929, nnz_a=8.47998, nnz_b=13.0918, uni_search=0.226203, uni_subSolve=0.0580526, uni_maintain=0.0675456, bi_search=1.02869, bi_subSolve=0.196202, bi_maintain=0.115956, admm_maintain=0.137884, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14306.2, p_obj=29690.3, heldout Acc=0.928241 (1/1000), overall time=123.715
i=46, infea=0.0395239, nnz_a=8.5343, nnz_b=13.1526, uni_search=0.224297, uni_subSolve=0.0580508, uni_maintain=0.0678436, bi_search=1.03116, bi_subSolve=0.198106, bi_maintain=0.116267, admm_maintain=0.139494, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14483.3, p_obj=30537.1, heldout Acc=0.930181 (2/1000), overall time=126.365
i=47, infea=0.0397558, nnz_a=8.58774, nnz_b=13.2113, uni_search=0.22361, uni_subSolve=0.05815, uni_maintain=0.0684058, bi_search=1.03032, bi_subSolve=0.198331, bi_maintain=0.116557, admm_maintain=0.137266, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14657, p_obj=32109.8, heldout Acc=0.929396 (3/1000), overall time=129
i=48, infea=0.0399768, nnz_a=8.63899, nnz_b=13.2688, uni_search=0.222898, uni_subSolve=0.0581783, uni_maintain=0.0686655, bi_search=1.02992, bi_subSolve=0.197952, bi_maintain=0.116648, admm_maintain=0.139416, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14827.4, p_obj=31556.7, heldout Acc=0.930037 (4/1000), overall time=131.649
i=49, infea=0.0401901, nnz_a=8.68795, nnz_b=13.324, uni_search=0.241649, uni_subSolve=0.06021, uni_maintain=0.071536, bi_search=1.04111, bi_subSolve=0.207129, bi_maintain=0.124981, admm_maintain=0.149464, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14995, p_obj=31699.2, heldout Acc=0.929703 (5/1000), overall time=134.383
i=50, infea=0.0403982, nnz_a=8.73536, nnz_b=13.3771, uni_search=0.252535, uni_subSolve=0.0608086, uni_maintain=0.0724873, bi_search=1.05636, bi_subSolve=0.2142, bi_maintain=0.126648, admm_maintain=0.162397, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15158.7, p_obj=30889.5, heldout Acc=0.929983 (6/1000), overall time=137.177
i=51, infea=0.0406062, nnz_a=8.7828, nnz_b=13.4291, uni_search=0.264018, uni_subSolve=0.0615912, uni_maintain=0.0736386, bi_search=1.05406, bi_subSolve=0.213467, bi_maintain=0.126311, admm_maintain=0.16124, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15319.7, p_obj=32183.9, heldout Acc=0.928278 (7/1000), overall time=140.009
i=52, infea=0.0407981, nnz_a=8.82709, nnz_b=13.4794, uni_search=0.268838, uni_subSolve=0.0619425, uni_maintain=0.0737543, bi_search=1.05692, bi_subSolve=0.215447, bi_maintain=0.127377, admm_maintain=0.160086, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15476.4, p_obj=30300.4, heldout Acc=0.929784 (8/1000), overall time=142.824
i=53, infea=0.0409905, nnz_a=8.86988, nnz_b=13.5283, uni_search=0.271547, uni_subSolve=0.0621762, uni_maintain=0.0745421, bi_search=1.05736, bi_subSolve=0.216699, bi_maintain=0.12783, admm_maintain=0.162305, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15630, p_obj=31895.1, heldout Acc=0.930091 (9/1000), overall time=145.649
i=54, infea=0.0411669, nnz_a=8.91151, nnz_b=13.5749, uni_search=0.26259, uni_subSolve=0.0615053, uni_maintain=0.0742403, bi_search=1.05664, bi_subSolve=0.217904, bi_maintain=0.127542, admm_maintain=0.158812, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15780.4, p_obj=32250.2, heldout Acc=0.930172 (10/1000), overall time=148.455
i=55, infea=0.0413415, nnz_a=8.95181, nnz_b=13.6217, uni_search=0.264491, uni_subSolve=0.0617886, uni_maintain=0.0743405, bi_search=1.063, bi_subSolve=0.222606, bi_maintain=0.130728, admm_maintain=0.164457, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15927, p_obj=30174.3, heldout Acc=0.930398, overall time=151.293
