using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=60, infea=0.146937, nnz_a=10.6128, nnz_b=15.3109, uni_search=0.253268, uni_subSolve=0.0624514, uni_maintain=0.0779321, bi_search=1.04492, bi_subSolve=0.222011, bi_maintain=0.144151, admm_maintain=0.158107, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25926.5, p_obj=27763.7, heldout Acc=0.912832 (46/1000), overall time=168.451
i=61, infea=0.146785, nnz_a=10.6769, nnz_b=15.3437, uni_search=0.2526, uni_subSolve=0.0625402, uni_maintain=0.0782844, bi_search=1.0451, bi_subSolve=0.22173, bi_maintain=0.143786, admm_maintain=0.157232, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25935.4, p_obj=28144.3, heldout Acc=0.91451 (47/1000), overall time=171.258
i=62, infea=0.146641, nnz_a=10.7369, nnz_b=15.3747, uni_search=0.25283, uni_subSolve=0.0626142, uni_maintain=0.0785634, bi_search=1.04616, bi_subSolve=0.221445, bi_maintain=0.143663, admm_maintain=0.157888, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25944, p_obj=27720.6, heldout Acc=0.91239 (48/1000), overall time=174.091
i=63, infea=0.146472, nnz_a=10.793, nnz_b=15.4053, uni_search=0.252833, uni_subSolve=0.0627014, uni_maintain=0.0787322, bi_search=1.04516, bi_subSolve=0.223389, bi_maintain=0.143699, admm_maintain=0.158843, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25951.7, p_obj=28476.2, heldout Acc=0.914105 (49/1000), overall time=176.899
i=64, infea=0.1463, nnz_a=10.8457, nnz_b=15.4348, uni_search=0.256215, uni_subSolve=0.0630746, uni_maintain=0.0790937, bi_search=1.04483, bi_subSolve=0.226412, bi_maintain=0.143791, admm_maintain=0.156936, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25960.5, p_obj=27334.7, heldout Acc=0.913861 (50/1000), overall time=179.72
i=65, infea=0.146097, nnz_a=10.8952, nnz_b=15.4638, uni_search=0.276072, uni_subSolve=0.0655683, uni_maintain=0.0808606, bi_search=1.0901, bi_subSolve=0.289794, bi_maintain=0.153525, admm_maintain=0.16799, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25969, p_obj=28628, heldout Acc=0.912417 (51/1000), overall time=182.751
i=66, infea=0.145884, nnz_a=10.9414, nnz_b=15.491, uni_search=0.276202, uni_subSolve=0.0654733, uni_maintain=0.0806618, bi_search=1.09121, bi_subSolve=0.290054, bi_maintain=0.154889, admm_maintain=0.197971, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25976.1, p_obj=27168.6, heldout Acc=0.912517 (52/1000), overall time=185.8
i=67, infea=0.145665, nnz_a=10.9852, nnz_b=15.5177, uni_search=0.233583, uni_subSolve=0.0608498, uni_maintain=0.0762699, bi_search=1.03051, bi_subSolve=0.217141, bi_maintain=0.134281, admm_maintain=0.147355, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25982.5, p_obj=27805.3, heldout Acc=0.912652 (53/1000), overall time=188.517
i=68, infea=0.145434, nnz_a=11.0255, nnz_b=15.5441, uni_search=0.233501, uni_subSolve=0.0609197, uni_maintain=0.0766816, bi_search=1.03078, bi_subSolve=0.217546, bi_maintain=0.134153, admm_maintain=0.149529, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25989.1, p_obj=27568.5, heldout Acc=0.912354 (54/1000), overall time=191.238
i=69, infea=0.1452, nnz_a=11.0641, nnz_b=15.5692, uni_search=0.230086, uni_subSolve=0.0608595, uni_maintain=0.0762676, bi_search=1.03023, bi_subSolve=0.216591, bi_maintain=0.134938, admm_maintain=0.146158, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25996.1, p_obj=26802.8, heldout Acc=0.912697 (55/1000), overall time=193.949
i=70, infea=0.14495, nnz_a=11.1007, nnz_b=15.5941, uni_search=0.23016, uni_subSolve=0.0610202, uni_maintain=0.0764058, bi_search=1.03266, bi_subSolve=0.217864, bi_maintain=0.136084, admm_maintain=0.149764, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26002.5, p_obj=28190.5, heldout Acc=0.913987 (56/1000), overall time=196.679
i=71, infea=0.144703, nnz_a=11.1342, nnz_b=15.6171, uni_search=0.249251, uni_subSolve=0.0629665, uni_maintain=0.0789022, bi_search=1.04278, bi_subSolve=0.227549, bi_maintain=0.144243, admm_maintain=0.157071, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26008.8, p_obj=26649, heldout Acc=0.91258 (57/1000), overall time=199.492
i=72, infea=0.14446, nnz_a=11.1662, nnz_b=15.6398, uni_search=0.249029, uni_subSolve=0.0630202, uni_maintain=0.0788683, bi_search=1.04139, bi_subSolve=0.229117, bi_maintain=0.14346, admm_maintain=0.157055, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26014, p_obj=28811.4, heldout Acc=0.913861 (58/1000), overall time=202.321
