using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=36, infea=0.0807047, nnz_a=4.60005, nnz_b=5.81521, uni_search=0.222397, uni_subSolve=0.0682648, uni_maintain=0.0474394, bi_search=0.713289, bi_subSolve=0.0905851, bi_maintain=0.0807519, admm_maintain=0.138262, area1=79.5307, area23=1.73443, area4=8.05421, dual_obj=-24331.4, p_obj=21703.3, heldout Acc=0.928034 (2/1000), overall time=76.5381
i=37, infea=0.0782021, nnz_a=4.60102, nnz_b=5.80689, uni_search=0.228307, uni_subSolve=0.0692468, uni_maintain=0.0484024, bi_search=1.04875, bi_subSolve=0.134524, bi_maintain=0.107902, admm_maintain=0.142682, area1=83.0493, area23=1.72458, area4=8.17012, dual_obj=-24214.3, p_obj=22554.3, heldout Acc=0.928386, overall time=79.3826
i=38, infea=0.075782, nnz_a=4.60003, nnz_b=5.79873, uni_search=0.270449, uni_subSolve=0.0723115, uni_maintain=0.0740727, bi_search=1.00121, bi_subSolve=0.127294, bi_maintain=0.105498, admm_maintain=0.143026, area1=86.6213, area23=1.71472, area4=8.27364, dual_obj=-24098.2, p_obj=21379.9, heldout Acc=0.928296 (1/1000), overall time=82.1881
i=39, infea=0.0734101, nnz_a=4.59563, nnz_b=5.79032, uni_search=0.407624, uni_subSolve=0.125105, uni_maintain=0.107625, bi_search=0.946686, bi_subSolve=0.147182, bi_maintain=0.158765, admm_maintain=0.114322, area1=90.1542, area23=1.70534, area4=8.35288, dual_obj=-23982.3, p_obj=20840.2, heldout Acc=0.928196 (2/1000), overall time=85.7682
i=40, infea=0.0711388, nnz_a=4.59119, nnz_b=5.77953, uni_search=0.265116, uni_subSolve=0.0765863, uni_maintain=0.0668909, bi_search=1.11036, bi_subSolve=0.17177, bi_maintain=0.0983942, admm_maintain=0.147037, area1=93.6775, area23=1.69622, area4=8.46551, dual_obj=-23866.6, p_obj=21915, heldout Acc=0.928647, overall time=88.8772
i=41, infea=0.0689451, nnz_a=4.5888, nnz_b=5.76943, uni_search=0.314654, uni_subSolve=0.0739453, uni_maintain=0.063, bi_search=0.89893, bi_subSolve=0.109308, bi_maintain=0.112939, admm_maintain=0.264878, area1=97.0935, area23=1.68665, area4=8.54263, dual_obj=-23759.1, p_obj=21433.6, heldout Acc=0.928314 (1/1000), overall time=91.6923
i=42, infea=0.0667968, nnz_a=4.58805, nnz_b=5.75757, uni_search=0.284897, uni_subSolve=0.0879663, uni_maintain=0.0579572, bi_search=0.798158, bi_subSolve=0.0902297, bi_maintain=0.0803855, admm_maintain=0.200375, area1=100.365, area23=1.67992, area4=8.63014, dual_obj=-23650.5, p_obj=20779.4, heldout Acc=0.928539 (2/1000), overall time=94.1872
i=43, infea=0.0647217, nnz_a=4.5922, nnz_b=5.74616, uni_search=0.29654, uni_subSolve=0.072383, uni_maintain=0.0497841, bi_search=0.979947, bi_subSolve=0.0997367, bi_maintain=0.0995135, admm_maintain=0.151249, area1=103.438, area23=1.67312, area4=8.70468, dual_obj=-23546.5, p_obj=19804.9, heldout Acc=0.928269 (3/1000), overall time=96.8638
i=44, infea=0.0624796, nnz_a=4.61705, nnz_b=5.73397, uni_search=0.371885, uni_subSolve=0.0974374, uni_maintain=0.0669012, bi_search=0.921734, bi_subSolve=0.0897572, bi_maintain=0.0895833, admm_maintain=0.25456, area1=105.668, area23=1.6696, area4=8.76894, dual_obj=-23442, p_obj=20249.3, heldout Acc=0.928494 (4/1000), overall time=99.9232
i=45, infea=0.0602435, nnz_a=4.6491, nnz_b=5.71997, uni_search=0.22919, uni_subSolve=0.0710412, uni_maintain=0.0470045, bi_search=1.04821, bi_subSolve=0.101313, bi_maintain=0.121343, admm_maintain=0.14149, area1=107.31, area23=1.66728, area4=8.83837, dual_obj=-23342.5, p_obj=20208.1, heldout Acc=0.928395 (5/1000), overall time=102.778
i=46, infea=0.0581303, nnz_a=4.68507, nnz_b=5.70648, uni_search=0.250693, uni_subSolve=0.0739624, uni_maintain=0.0486902, bi_search=0.828264, bi_subSolve=0.0873615, bi_maintain=0.0859238, admm_maintain=0.183293, area1=108.637, area23=1.66571, area4=8.90095, dual_obj=-23249, p_obj=20978.4, heldout Acc=0.92872, overall time=105.37
i=47, infea=0.0561525, nnz_a=4.72106, nnz_b=5.69534, uni_search=0.258906, uni_subSolve=0.0725431, uni_maintain=0.0474768, bi_search=1.0125, bi_subSolve=0.113356, bi_maintain=0.0908052, admm_maintain=0.138366, area1=109.767, area23=1.66447, area4=8.94813, dual_obj=-23159.4, p_obj=21486.5, heldout Acc=0.928557 (1/1000), overall time=108.067
i=48, infea=0.0543267, nnz_a=4.75821, nnz_b=5.68202, uni_search=0.289533, uni_subSolve=0.0960533, uni_maintain=0.0507893, bi_search=0.872676, bi_subSolve=0.104369, bi_maintain=0.0761155, admm_maintain=0.120243, area1=110.794, area23=1.66283, area4=8.98893, dual_obj=-23077.4, p_obj=19985.2, heldout Acc=0.928133 (2/1000), overall time=110.644
i=49, infea=0.0525906, nnz_a=4.79722, nnz_b=5.66716, uni_search=0.22933, uni_subSolve=0.0759283, uni_maintain=0.0494148, bi_search=0.92214, bi_subSolve=0.11972, bi_maintain=0.0853744, admm_maintain=0.123968, area1=111.731, area23=1.66141, area4=9.0428, dual_obj=-22999.2, p_obj=20963, heldout Acc=0.928016 (3/1000), overall time=113.139
i=50, infea=0.050983, nnz_a=4.83186, nnz_b=5.65493, uni_search=0.234038, uni_subSolve=0.0747601, uni_maintain=0.0479415, bi_search=0.92735, bi_subSolve=0.110026, bi_maintain=0.117183, admm_maintain=0.12108, area1=112.615, area23=1.65971, area4=9.0678, dual_obj=-22923.9, p_obj=20576.7, heldout Acc=0.928214 (4/1000), overall time=115.609
i=51, infea=0.0494587, nnz_a=4.86437, nnz_b=5.64238, uni_search=0.282234, uni_subSolve=0.0964787, uni_maintain=0.0494459, bi_search=0.851333, bi_subSolve=0.0911284, bi_maintain=0.0853976, admm_maintain=0.256234, area1=113.461, area23=1.65846, area4=9.09338, dual_obj=-22852.7, p_obj=21753.1, heldout Acc=0.92816 (5/1000), overall time=118.245
i=52, infea=0.0480329, nnz_a=4.89531, nnz_b=5.63048, uni_search=0.258834, uni_subSolve=0.0779757, uni_maintain=0.050413, bi_search=0.780004, bi_subSolve=0.0834362, bi_maintain=0.071505, admm_maintain=0.12072, area1=114.274, area23=1.65731, area4=9.1208, dual_obj=-22784, p_obj=20466.6, heldout Acc=0.92844 (6/1000), overall time=120.573
i=53, infea=0.0466869, nnz_a=4.92325, nnz_b=5.61313, uni_search=0.31972, uni_subSolve=0.090992, uni_maintain=0.0788945, bi_search=0.900696, bi_subSolve=0.0907537, bi_maintain=0.104699, admm_maintain=0.137923, area1=115.048, area23=1.65638, area4=9.14422, dual_obj=-22719.6, p_obj=20249.1, heldout Acc=0.928431 (7/1000), overall time=123.384
i=54, infea=0.0454192, nnz_a=4.9459, nnz_b=5.60245, uni_search=0.227228, uni_subSolve=0.0761552, uni_maintain=0.0487286, bi_search=0.838743, bi_subSolve=0.12134, bi_maintain=0.0752679, admm_maintain=0.135945, area1=115.807, area23=1.65428, area4=9.15146, dual_obj=-22660.8, p_obj=21895.2, heldout Acc=0.928557 (8/1000), overall time=125.744
i=55, infea=0.0442123, nnz_a=4.96855, nnz_b=5.59202, uni_search=0.318358, uni_subSolve=0.078345, uni_maintain=0.0624193, bi_search=0.934427, bi_subSolve=0.0878903, bi_maintain=0.078246, admm_maintain=0.18189, area1=116.551, area23=1.65298, area4=9.17634, dual_obj=-22602.9, p_obj=21277.7, heldout Acc=0.928593 (9/1000), overall time=128.479
i=56, infea=0.0430707, nnz_a=4.98808, nnz_b=5.5808, uni_search=0.260949, uni_subSolve=0.0803307, uni_maintain=0.0514456, bi_search=0.862761, bi_subSolve=0.0830878, bi_maintain=0.0703567, admm_maintain=0.122283, area1=117.278, area23=1.65064, area4=9.15777, dual_obj=-22547.2, p_obj=19353.3, heldout Acc=0.928602 (10/1000), overall time=131.12
i=57, infea=0.0419998, nnz_a=5.00525, nnz_b=5.57156, uni_search=0.319085, uni_subSolve=0.0781927, uni_maintain=0.106471, bi_search=1.03752, bi_subSolve=0.145198, bi_maintain=0.113393, admm_maintain=0.135386, area1=117.969, area23=1.64912, area4=9.17924, dual_obj=-22496.4, p_obj=20747.2, heldout Acc=0.928629 (11/1000), overall time=134.06
i=58, infea=0.0409755, nnz_a=5.02069, nnz_b=5.56074, uni_search=0.231931, uni_subSolve=0.0785134, uni_maintain=0.0500527, bi_search=0.778748, bi_subSolve=0.0990516, bi_maintain=0.069959, admm_maintain=0.122055, area1=118.659, area23=1.64787, area4=9.18539, dual_obj=-22447.4, p_obj=21772.2, heldout Acc=0.928963, overall time=136.318
i=59, infea=0.0399989, nnz_a=5.03382, nnz_b=5.55138, uni_search=0.286055, uni_subSolve=0.101163, uni_maintain=0.0587253, bi_search=0.874453, bi_subSolve=0.088944, bi_maintain=0.0775398, admm_maintain=0.204307, area1=119.35, area23=1.64539, area4=9.18442, dual_obj=-22401, p_obj=20383.9, heldout Acc=0.928693 (1/1000), overall time=138.858
i=60, infea=0.0390476, nnz_a=5.04493, nnz_b=5.54147, uni_search=0.323228, uni_subSolve=0.0970973, uni_maintain=0.0530678, bi_search=1.07033, bi_subSolve=0.113609, bi_maintain=0.0986463, admm_maintain=0.143404, area1=120.004, area23=1.6443, area4=9.19678, dual_obj=-22357.4, p_obj=19355.7, heldout Acc=0.928729 (2/1000), overall time=141.75
i=61, infea=0.0381358, nnz_a=5.05311, nnz_b=5.5309, uni_search=0.327993, uni_subSolve=0.101797, uni_maintain=0.103318, bi_search=1.06968, bi_subSolve=0.137312, bi_maintain=0.140028, admm_maintain=0.138098, area1=120.649, area23=1.64317, area4=9.18615, dual_obj=-22317.3, p_obj=21275.5, heldout Acc=0.928629 (3/1000), overall time=144.811
i=62, infea=0.0372707, nnz_a=5.061, nnz_b=5.5231, uni_search=0.244424, uni_subSolve=0.0799874, uni_maintain=0.0506364, bi_search=0.888309, bi_subSolve=0.110939, bi_maintain=0.074781, admm_maintain=0.138223, area1=121.258, area23=1.64108, area4=9.18076, dual_obj=-22279.2, p_obj=21273.1, heldout Acc=0.928855 (4/1000), overall time=147.236
i=63, infea=0.0364293, nnz_a=5.06872, nnz_b=5.51791, uni_search=0.307376, uni_subSolve=0.0885214, uni_maintain=0.0556586, bi_search=0.836466, bi_subSolve=0.093704, bi_maintain=0.0800049, admm_maintain=0.120565, area1=121.869, area23=1.63939, area4=9.18143, dual_obj=-22241.5, p_obj=20243.6, heldout Acc=0.928575 (5/1000), overall time=149.68
i=64, infea=0.0356344, nnz_a=5.07351, nnz_b=5.5117, uni_search=0.223653, uni_subSolve=0.0777022, uni_maintain=0.0499217, bi_search=0.767975, bi_subSolve=0.0818167, bi_maintain=0.0678907, admm_maintain=0.116569, area1=122.491, area23=1.6373, area4=9.17992, dual_obj=-22206.8, p_obj=20426.3, heldout Acc=0.928909 (6/1000), overall time=151.846
i=65, infea=0.0348789, nnz_a=5.08088, nnz_b=5.50237, uni_search=0.224361, uni_subSolve=0.0782407, uni_maintain=0.0501587, bi_search=0.772524, bi_subSolve=0.0819469, bi_maintain=0.0676956, admm_maintain=0.117095, area1=123.07, area23=1.63565, area4=9.18251, dual_obj=-22173.4, p_obj=20463.8, heldout Acc=0.928891 (7/1000), overall time=154.018
i=66, infea=0.0341533, nnz_a=5.08415, nnz_b=5.49677, uni_search=0.222459, uni_subSolve=0.078113, uni_maintain=0.0498593, bi_search=0.764588, bi_subSolve=0.0807374, bi_maintain=0.0670451, admm_maintain=0.116502, area1=123.649, area23=1.63444, area4=9.17539, dual_obj=-22141.7, p_obj=20122.4, heldout Acc=0.928981, overall time=156.174
i=67, infea=0.0334548, nnz_a=5.08688, nnz_b=5.4909, uni_search=0.221955, uni_subSolve=0.0780498, uni_maintain=0.0501337, bi_search=0.776085, bi_subSolve=0.0806268, bi_maintain=0.066811, admm_maintain=0.116437, area1=124.229, area23=1.6325, area4=9.17915, dual_obj=-22110.7, p_obj=20308.4, heldout Acc=0.928909 (1/1000), overall time=158.341
i=68, infea=0.0327998, nnz_a=5.08827, nnz_b=5.48225, uni_search=0.220844, uni_subSolve=0.0779421, uni_maintain=0.0503448, bi_search=0.76557, bi_subSolve=0.0803822, bi_maintain=0.0666082, admm_maintain=0.11619, area1=124.778, area23=1.63108, area4=9.1741, dual_obj=-22082.1, p_obj=20420.6, heldout Acc=0.928999, overall time=160.494
i=69, infea=0.0321438, nnz_a=5.08956, nnz_b=5.47606, uni_search=0.222397, uni_subSolve=0.0782236, uni_maintain=0.0502694, bi_search=0.774347, bi_subSolve=0.0805491, bi_maintain=0.0665681, admm_maintain=0.11538, area1=125.329, area23=1.62928, area4=9.17176, dual_obj=-22054.4, p_obj=20899.6, heldout Acc=0.929126, overall time=162.657
