using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=51, infea=0.00121143, nnz_a=6.25331, nnz_b=9.4216, uni_search=0.714532, uni_subSolve=0.128073, uni_maintain=0.0735127, bi_search=1.64194, bi_subSolve=0.188707, bi_maintain=0.160361, admm_maintain=0.348591, area1=353.553, area23=1.6653, area4=17.1093, dual_obj=-6519.36, p_obj=37100.7, heldout Acc=0.923929, overall time=211.312
i=52, infea=0.00118115, nnz_a=6.2355, nnz_b=9.35466, uni_search=0.637053, uni_subSolve=0.122064, uni_maintain=0.0718767, bi_search=1.61891, bi_subSolve=0.185018, bi_maintain=0.158848, admm_maintain=0.34966, area1=353.706, area23=1.66547, area4=17.2186, dual_obj=-6585.58, p_obj=36579.3, heldout Acc=0.924191, overall time=215.718
i=53, infea=0.0011534, nnz_a=6.20692, nnz_b=9.29509, uni_search=0.666897, uni_subSolve=0.124542, uni_maintain=0.0734121, bi_search=1.6281, bi_subSolve=0.18466, bi_maintain=0.160095, admm_maintain=0.34457, area1=353.829, area23=1.66495, area4=17.3114, dual_obj=-6651.94, p_obj=36918.4, heldout Acc=0.924218, overall time=220.168
i=54, infea=0.00112745, nnz_a=6.17502, nnz_b=9.23482, uni_search=0.704801, uni_subSolve=0.128215, uni_maintain=0.0739935, bi_search=1.69718, bi_subSolve=0.194274, bi_maintain=0.159439, admm_maintain=0.366278, area1=353.91, area23=1.66325, area4=17.3825, dual_obj=-6717.95, p_obj=36868.9, heldout Acc=0.924019 (1/1000), overall time=224.8
i=55, infea=0.00110434, nnz_a=6.13806, nnz_b=9.17079, uni_search=0.729251, uni_subSolve=0.129378, uni_maintain=0.0747548, bi_search=1.67796, bi_subSolve=0.190588, bi_maintain=0.162085, admm_maintain=0.339429, area1=353.949, area23=1.66358, area4=17.4914, dual_obj=-6783.88, p_obj=36371.7, heldout Acc=0.924308, overall time=229.395
i=56, infea=0.00108263, nnz_a=6.09475, nnz_b=9.11197, uni_search=0.645055, uni_subSolve=0.122346, uni_maintain=0.073706, bi_search=1.62205, bi_subSolve=0.182715, bi_maintain=0.155445, admm_maintain=0.34415, area1=353.935, area23=1.66233, area4=17.5751, dual_obj=-6850.03, p_obj=33740.4, heldout Acc=0.924425, overall time=233.803
i=57, infea=0.00106189, nnz_a=6.05027, nnz_b=9.05048, uni_search=0.650453, uni_subSolve=0.122115, uni_maintain=0.0737716, bi_search=1.62014, bi_subSolve=0.181687, bi_maintain=0.154605, admm_maintain=0.344212, area1=353.909, area23=1.66163, area4=17.6394, dual_obj=-6916.49, p_obj=34115.3, heldout Acc=0.924669, overall time=238.214
i=58, infea=0.00104253, nnz_a=6.0044, nnz_b=8.98879, uni_search=0.695353, uni_subSolve=0.125883, uni_maintain=0.0748622, bi_search=1.68204, bi_subSolve=0.19062, bi_maintain=0.155643, admm_maintain=0.375371, area1=353.827, area23=1.66076, area4=17.7584, dual_obj=-6982.63, p_obj=35151.2, heldout Acc=0.9253, overall time=242.824
i=59, infea=0.00102298, nnz_a=5.95406, nnz_b=8.92855, uni_search=0.736316, uni_subSolve=0.129244, uni_maintain=0.0755686, bi_search=1.67008, bi_subSolve=0.186339, bi_maintain=0.154508, admm_maintain=0.344677, area1=353.782, area23=1.66016, area4=17.8182, dual_obj=-7048.92, p_obj=33994.8, heldout Acc=0.92484 (1/1000), overall time=247.433
i=60, infea=0.00100527, nnz_a=5.90808, nnz_b=8.87055, uni_search=0.644599, uni_subSolve=0.121165, uni_maintain=0.0732912, bi_search=1.60565, bi_subSolve=0.178227, bi_maintain=0.152174, admm_maintain=0.348781, area1=353.708, area23=1.6588, area4=17.894, dual_obj=-7115.4, p_obj=35142.4, heldout Acc=0.92512 (2/1000), overall time=251.824
i=61, infea=0.000986669, nnz_a=5.8576, nnz_b=8.8095, uni_search=0.6405, uni_subSolve=0.120194, uni_maintain=0.0726899, bi_search=1.60885, bi_subSolve=0.177573, bi_maintain=0.151357, admm_maintain=0.338636, area1=353.623, area23=1.65749, area4=17.9627, dual_obj=-7181.88, p_obj=34052, heldout Acc=0.925499, overall time=256.193
